交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期满仓基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-02-14,2022-02-18,2022-02-18,多头,1.0,1.0,5,-2.2799999999999905,-2.2799999999999905,0.0,否,是,已平仓
2,2022-02-28,2022-03-04,2022-03-04,空头,-1.0,1.0,5,1.500000000000043,-1.500000000000043,3.000000000000086,是,是,已平仓
3,2022-03-14,2022-03-25,2022-03-25,空头,-1.0,1.0,10,-3.3800000000000496,3.3800000000000496,-6.760000000000099,否,是,已平仓
4,2022-04-11,2022-04-15,2022-04-15,多头,1.0,1.0,5,0.7700000000000071,0.7700000000000071,0.0,是,是,已平仓
5,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.58999999999997,5.58999999999997,0.0,是,是,已平仓
6,2022-05-09,2022-05-13,2022-05-13,空头,-1.0,1.0,5,1.4199999999999968,-1.4199999999999968,2.8399999999999936,是,是,已平仓
7,2022-05-23,2022-05-27,2022-05-27,空头,-1.0,1.0,5,-1.4599999999989972,1.4599999999989972,-2.9199999999979944,否,是,已平仓
8,2022-06-13,2022-07-01,2022-07-01,空头,-1.0,1.0,15,4.089999999999995,-4.089999999999995,8.17999999999999,是,是,已平仓
9,2022-07-11,2022-07-22,2022-07-22,多头,1.0,1.0,10,9.049999999999962,9.049999999999962,0.0,是,是,已平仓
10,2022-08-01,2022-08-12,2022-08-12,多头,1.0,1.0,10,2.540000000000978,2.540000000000978,0.0,是,是,已平仓
11,2022-08-29,2022-09-16,2022-09-16,多头,1.0,1.0,14,2.459999999998992,2.459999999998992,0.0,是,是,已平仓
12,2022-09-26,2022-10-14,2022-10-14,多头,1.0,1.0,10,-2.899999999999986,-2.899999999999986,0.0,否,是,已平仓
13,2022-10-31,2022-11-04,2022-11-04,空头,-1.0,1.0,5,2.82000000000001,-2.82000000000001,5.64000000000002,是,是,已平仓
14,2022-11-21,2022-11-25,2022-11-25,多头,1.0,1.0,5,2.360000000001007,2.360000000001007,0.0,是,是,已平仓
15,2023-01-16,2023-02-10,2023-02-10,空头,-1.0,1.0,15,2.2799999999999905,-2.2799999999999905,4.559999999999981,是,是,已平仓
16,2023-02-20,2023-02-24,2023-02-24,空头,-1.0,1.0,5,1.5899999999999943,-1.5899999999999943,3.1799999999999886,是,是,已平仓
17,2023-02-27,2023-03-03,2023-03-03,多头,1.0,1.0,5,0.6300000000000056,0.6300000000000056,0.0,是,是,已平仓
18,2023-04-03,2023-04-07,2023-04-07,空头,-1.0,1.0,4,-0.3999999999990125,0.3999999999990125,-0.799999999998025,否,是,已平仓
19,2023-04-24,2023-04-28,2023-04-28,空头,-1.0,1.0,5,0.7800000000000169,-0.7800000000000169,1.5600000000000338,是,是,已平仓
20,2023-05-04,2023-05-05,2023-05-05,多头,1.0,1.0,2,2.8500000000010117,2.8500000000010117,0.0,是,是,已平仓
21,2023-06-19,2023-07-07,2023-07-07,空头,-1.0,1.0,13,2.650000000000013,-2.650000000000013,5.300000000000026,是,是,已平仓
22,2023-07-10,2023-07-14,2023-07-14,多头,1.0,1.0,5,4.409999999998998,4.409999999998998,0.0,是,是,已平仓
23,2023-10-16,2023-10-27,2023-10-27,空头,-1.0,1.0,10,8.680000000000009,-8.680000000000009,17.360000000000017,是,是,已平仓
24,2023-11-20,2023-12-01,2023-12-01,多头,1.0,1.0,10,3.849999999999999,3.849999999999999,0.0,是,是,已平仓
25,2023-12-04,2023-12-08,2023-12-08,空头,-1.0,1.0,5,-1.3699999999999823,1.3699999999999823,-2.7399999999999647,否,是,已平仓
26,2023-12-11,2024-01-05,2024-01-05,多头,1.0,1.0,19,15.800000000000015,15.800000000000015,0.0,是,是,已平仓
27,2024-03-04,2024-03-08,2024-03-08,多头,1.0,1.0,5,7.9299999999999855,7.9299999999999855,0.0,是,是,已平仓
28,2024-04-08,2024-04-12,2024-04-12,多头,1.0,1.0,5,3.019999999998996,3.019999999998996,0.0,是,是,已平仓
29,2024-04-22,2024-04-30,2024-04-30,多头,1.0,1.0,7,0.9200000000009894,0.9200000000009894,0.0,是,是,已平仓
30,2024-05-06,2024-05-10,2024-05-10,空头,-1.0,1.0,5,6.790000000000996,-6.790000000000996,13.580000000001991,是,是,已平仓
31,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,3.1500000000009996,0.0,是,是,已平仓
32,2024-05-20,2024-05-24,2024-05-24,空头,-1.0,1.0,5,-0.30999999999999767,0.30999999999999767,-0.6199999999999953,否,是,已平仓
33,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.8300000000000196,0.0,是,是,已平仓
34,2024-06-17,2024-06-21,2024-06-21,空头,-1.0,1.0,5,-1.229999999999981,1.229999999999981,-2.459999999999962,否,是,已平仓
35,2024-07-22,2024-07-26,2024-07-26,多头,1.0,1.0,5,3.9800000000009965,3.9800000000009965,0.0,是,是,已平仓
36,2024-08-26,2024-08-30,2024-08-30,空头,-1.0,1.0,5,-0.3999999999999834,0.3999999999999834,-0.7999999999999668,否,是,已平仓
37,2024-09-18,2024-09-20,2024-09-20,空头,-1.0,1.0,3,-0.9699999999999986,0.9699999999999986,-1.9399999999999973,否,是,已平仓
38,2024-10-14,2024-10-18,2024-10-18,多头,1.0,1.0,5,4.270000000000003,4.270000000000003,0.0,是,是,已平仓
39,2024-10-28,2024-11-01,2024-11-01,空头,-1.0,1.0,5,0.13999999999899493,-0.13999999999899493,0.27999999999798986,是,是,已平仓
