日期,信号日期,总分,结论,目标仓位,仓位,止盈止损事件,条件基准仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2022-01-13,2022-01-13,50.0,中性,0.0,0.0,,0.0,3.1432,2.7858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-01-14,2022-01-14,20.0,看空,0.0,0.0,,0.0,3.1432,2.7935,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-01-17,2022-01-17,27.5,看空,0.0,0.0,,0.0,3.1207,2.786,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-01-18,2022-01-18,17.5,看空,0.0,0.0,,0.0,3.0911,2.7415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0
2022-01-19,2022-01-19,70.0,看多,1.0,1.0,,1.0,3.0756,2.7314,0.0014387182561094,0.0009818184056558,0.0001226626984126,0.0013160555576967,0.0001087896825396,0.0008730287231161,1.387301587301588e-05,0.0004430268345805,1.5500000000000236,1.0100000000009757,0.5399999999990481,1.5500000000000236,1.0100000000009757,0.5399999999990481,0.0001226626984126,0.0013160555576967,0.0001087896825396,0.0008730287231161,1.0014387182561093,1.0009818184056558,1.0004564516977754
2022-01-20,2022-01-20,70.0,看多,1.0,1.0,,1.0,3.0306,2.7271,0.0039458713659004,0.0004802672782827,0.0001220476190476,0.0038238237468528,0.0001083888888888,0.0003718783893938,1.365873015873054e-05,0.003451945357459,4.49999999999999,0.4299999999990075,4.070000000000983,6.050000000000014,1.439999999999983,4.6100000000000305,0.0002447103174602,0.0051398793045495,0.00021717857142839999,0.0012449071125099,1.00539026661918,1.001462557219192,1.0039219732896398
2022-01-21,2022-01-21,30.0,中性,0.0,0.0,,0.0,3.0393,2.71,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,6.050000000000014,1.439999999999983,4.6100000000000305,0.0002447103174602,0.0051398793045495,0.00021717857142839999,0.0012449071125099,1.00539026661918,1.001462557219192,1.0039219732896398
2022-01-24,2022-01-24,80.0,看多,1.0,1.0,,1.0,3.0,2.6751,0.003466263246403,0.0031291296212809,0.0001206071428571,0.0033456561035459,0.0001075396825396,0.0030215899387412,1.3067460317460326e-05,0.0003240661648047,3.93000000000001,3.489999999999986,0.4400000000000239,9.980000000000024,4.9299999999999695,5.050000000000054,0.0003653174603173,0.0084855354080954,0.000324718253968,0.0042664970512511,1.0088752139486536,1.0045962633715904,1.0042593733752327
2022-01-25,2022-01-25,65.0,中性,0.0,0.0,,0.0,3.0,2.6979,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,9.980000000000024,4.9299999999999695,5.050000000000054,0.0003653174603173,0.0084855354080954,0.000324718253968,0.0042664970512511,1.0088752139486536,1.0045962633715904,1.0042593733752327
2022-01-26,2022-01-26,40.0,中性,0.0,0.0,,0.0,3.0,2.7146,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,9.980000000000024,4.9299999999999695,5.050000000000054,0.0003653174603173,0.0084855354080954,0.000324718253968,0.0042664970512511,1.0088752139486536,1.0045962633715904,1.0042593733752327
2022-01-27,2022-01-27,7.5,看空,0.0,0.0,,0.0,3.0238,2.7348,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,9.980000000000024,4.9299999999999695,5.050000000000054,0.0003653174603173,0.0084855354080954,0.000324718253968,0.0042664970512511,1.0088752139486536,1.0045962633715904,1.0042593733752327
2022-01-28,2022-01-28,70.0,看多,1.0,1.0,,1.0,3.0134,2.7021,0.0010060566023296,0.0029360353060962,0.000119992063492,0.0008860645388375,0.0001085238095238,0.0028275114965724,1.1468253968254365e-05,-0.0019414469577348,1.0400000000010057,3.269999999999003,-2.2299999999979976,11.02000000000103,8.199999999998973,2.8200000000020564,0.0004853095238093,0.0093715999469329,0.0004332420634918,0.0070940085478235,1.0098901995185734,1.0075457934692216,1.0023268481338992
2022-02-07,2022-02-07,27.5,看空,0.0,0.0,,0.0,3.0311,2.7256,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,11.02000000000103,8.199999999998973,2.8200000000020564,0.0004853095238093,0.0093715999469329,0.0004332420634918,0.0070940085478235,1.0098901995185734,1.0075457934692216,1.0023268481338992
2022-02-08,2022-02-08,47.5,中性,0.0,0.0,,0.0,3.0303,2.7227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.02000000000103,8.199999999998973,2.8200000000020564,0.0004853095238093,0.0093715999469329,0.0004332420634918,0.0070940085478235,1.0098901995185734,1.0075457934692216,1.0023268481338992
2022-02-09,2022-02-09,77.5,看多,1.0,1.0,,1.0,3.0123,2.7328,0.0016533149487413,-0.0007658287001727,0.00012025,0.0015330649487413,0.0001080436507936,-0.0008738723509663,1.2206349206349192e-05,0.0024069372997077,1.799999999999996,-1.010000000000004,2.81,12.820000000001025,7.189999999998968,5.630000000002056,0.0006055595238093,0.0109046648956742,0.0005412857142854,0.0062201361968572,1.0115598660820246,1.0067741859838446,1.0047534791463721
2022-02-10,2022-02-10,90.0,看多,1.0,1.0,,1.0,3.0127,2.7328,8.543631118011378e-05,0.0001084444444444,0.0001195357142857,-3.4099403105600515e-05,0.0001084444444444,-0.0,1.1091269841269832e-05,-3.4099403105600515e-05,-0.0400000000000053,-0.0,-0.0400000000000053,12.78000000000102,7.189999999998968,5.590000000002051,0.0007250952380949999,0.0108705654925686,0.0006497301587298,0.0062201361968572,1.0116462900255205,1.0068833650511246,1.004730364151119
2022-02-11,2022-02-11,85.0,看多,1.0,1.0,,1.0,3.0681,2.7891,-0.004603119365178,-0.0047602177627427,0.0001195515873015,-0.0047226709524796,0.0001084444444444,-0.0048686622071871,1.110714285714285e-05,0.0001459912547074,-5.539999999999989,-5.629999999999975,0.0899999999999856,7.240000000001031,1.5599999999989933,5.680000000002036,0.0008446468253965,0.006147894540088999,0.0007581746031742,0.0013514739896701,1.0069895613971935,1.002090380971798,1.004888960635112
