区间,起始日期,结束日期,累计资本利得_BP,年化资本利得_BP,条件基准资本利得_BP,资本利得超额_BP,年化资本利得超额_BP,已平仓胜率,已平仓交易数,平均单笔_BP,平均亏损_BP,资本利得最大回撤_BP,平均持有交易日
搜索期,2022-01-17,2025-01-01,81.33000000000102,28.624525139665167,26.87000000000002,54.460000000001,19.167486033519907,1.0,18,4.518333333333391,,-7.240000000000023,9.11111111111111
样本外,2025-01-02,2026-07-20,15.379999999997064,10.418709677417366,-8.07999999999896,23.459999999996022,15.892258064513435,0.7142857142857143,14,1.098571428571219,-2.985000000000002,-7.339999999999986,6.642857142857143
2026年以来,2026-01-01,2026-07-20,8.919999999999032,17.425116279067876,-0.4799999999999941,9.399999999999025,18.362790697672512,0.75,4,2.2299999999997584,-0.09999999999999609,-3.259999999999999,7.0
全区间,2022-01-17,2026-07-20,96.70999999999809,22.379173553718566,18.79000000000106,77.91999999999703,18.0310743801646,0.875,32,3.02218749999994,-2.985000000000002,-8.039999999999964,8.03125
