区间,起始日期,结束日期,累计资本利得_BP,年化资本利得_BP,条件基准资本利得_BP,资本利得超额_BP,年化资本利得超额_BP,已平仓胜率,已平仓交易数,平均单笔_BP,平均亏损_BP,资本利得最大回撤_BP,平均持有交易日
搜索期,2022-01-13,2025-06-30,79.49000000000379,23.989796407186773,31.91999999999814,47.57000000000565,14.356455089822065,0.676923076923077,65,1.230615384615443,-1.7370000000000059,-12.48000000000006,2.712121212121212
样本外,2025-07-01,2026-07-14,5.169999999996983,5.190597609558724,-0.3600000000009498,5.529999999997933,5.552031872507885,0.6666666666666666,15,0.34466666666646545,-1.2900000000002494,-4.850000000001,2.3333333333333335
2026年以来,2026-01-01,2026-07-14,0.21999999999799957,0.4435199999959672,-5.2800000000009435,5.499999999998943,11.08799999999787,0.4444444444444444,9,0.02444444444422216,-1.2900000000002494,-3.750000000000975,2.3333333333333335
全区间,2022-01-13,2026-07-14,84.4100000000008,19.568831646734317,31.919999999997195,52.49000000000361,12.16879484820691,0.675,80,1.0551250000000099,-1.6625000000000465,-12.48000000000006,2.675
