交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期满仓基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2022-02-14,2022-02-18,2022-02-18,多头,1.0,1.0,5,-2.2799999999999905,-2.2799999999999905,0.0,否,是,已平仓
2,2022-04-11,2022-04-15,2022-04-15,多头,1.0,1.0,5,0.7700000000000071,0.7700000000000071,0.0,是,是,已平仓
3,2022-05-05,2022-05-06,2022-05-06,多头,1.0,1.0,2,5.58999999999997,5.58999999999997,0.0,是,是,已平仓
4,2022-07-11,2022-07-22,2022-07-22,多头,1.0,1.0,10,9.049999999999962,9.049999999999962,0.0,是,是,已平仓
5,2022-08-01,2022-08-12,2022-08-12,多头,1.0,1.0,10,2.540000000000978,2.540000000000978,0.0,是,是,已平仓
6,2022-08-29,2022-09-09,2022-09-09,多头,1.0,1.0,10,2.9500000000000015,2.9500000000000015,0.0,是,是,已平仓
7,2022-11-21,2022-11-25,2022-11-25,多头,1.0,1.0,5,2.360000000001007,2.360000000001007,0.0,是,是,已平仓
8,2023-05-04,2023-05-05,2023-05-05,多头,1.0,1.0,2,2.8500000000010117,2.8500000000010117,0.0,是,是,已平仓
9,2023-07-10,2023-07-14,2023-07-14,多头,1.0,1.0,5,4.409999999998998,4.409999999998998,0.0,是,是,已平仓
10,2023-11-13,2023-12-01,2023-12-01,多头,1.0,1.0,15,3.300000000000004,3.300000000000004,0.0,是,是,已平仓
11,2023-12-11,2024-01-05,2024-01-05,多头,1.0,1.0,19,15.800000000000015,15.800000000000015,0.0,是,是,已平仓
12,2024-03-04,2024-03-08,2024-03-08,多头,1.0,1.0,5,7.9299999999999855,7.9299999999999855,0.0,是,是,已平仓
13,2024-04-08,2024-04-12,2024-04-12,多头,1.0,1.0,5,3.019999999998996,3.019999999998996,0.0,是,是,已平仓
14,2024-04-22,2024-04-30,2024-04-30,多头,1.0,1.0,7,0.9200000000009894,0.9200000000009894,0.0,是,是,已平仓
15,2024-05-13,2024-05-17,2024-05-17,多头,1.0,1.0,5,3.1500000000009996,3.1500000000009996,0.0,是,是,已平仓
16,2024-06-11,2024-06-14,2024-06-14,多头,1.0,1.0,4,2.8300000000000196,2.8300000000000196,0.0,是,是,已平仓
17,2024-07-22,2024-07-26,2024-07-26,多头,1.0,1.0,5,3.9800000000009965,3.9800000000009965,0.0,是,是,已平仓
18,2024-10-14,2024-10-18,2024-10-18,多头,1.0,1.0,5,4.270000000000003,4.270000000000003,0.0,是,是,已平仓
19,2024-11-11,2024-11-15,2024-11-15,多头,1.0,1.0,5,1.299999999999982,1.299999999999982,0.0,是,是,已平仓
20,2025-04-28,2025-05-16,2025-05-16,多头,1.0,1.0,12,3.540000000000001,3.540000000000001,0.0,是,是,已平仓
21,2025-06-16,2025-06-20,2025-06-20,多头,1.0,1.0,5,1.7100000000000102,1.7100000000000102,0.0,是,是,已平仓
22,2025-06-30,2025-07-04,2025-07-04,多头,1.0,1.0,5,2.7500000000000098,2.7500000000000098,0.0,是,是,已平仓
23,2025-10-09,2025-10-10,2025-10-10,多头,1.0,1.0,2,-0.9200000000009895,-0.9200000000009895,0.0,否,是,已平仓
24,2025-11-10,2025-11-14,2025-11-14,多头,1.0,1.0,5,-0.11000000000000593,-0.11000000000000593,0.0,否,是,已平仓
25,2025-12-29,2025-12-31,2025-12-31,多头,1.0,1.0,3,-2.109999999999994,-2.109999999999994,0.0,否,是,已平仓
26,2026-03-09,2026-03-13,2026-03-13,多头,1.0,1.0,5,-0.09999999999999609,-0.09999999999999609,0.0,否,是,已平仓
27,2026-05-06,2026-05-08,2026-05-08,多头,1.0,1.0,3,0.6000000000000103,0.6000000000000103,0.0,是,是,已平仓
28,2026-05-18,2026-05-22,2026-05-22,多头,1.0,1.0,5,1.7400000000000053,1.7400000000000053,0.0,是,是,已平仓
