training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
2,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
3,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
4,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
5,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
6,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
7,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
8,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
9,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
10,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
11,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
12,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
13,124.07000000000228,87.30000000000494,61.76000000000501,-4.670000000001965,-1.6100000000029264
14,124.07000000000228,87.30000000000494,61.76000000000501,-4.670000000001965,-1.6100000000029264
15,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
16,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
17,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
18,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
19,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
20,124.07000000000228,87.30000000000494,61.76000000000501,-6.5600000000019465,-1.1000000000029013
