模块,最佳候选,建议,最佳目标函数,最佳累计收益率,最佳超额收益率,最佳累计资本利得_BP,最佳资本利得超额_BP,最佳资本利得交易胜率,相对原始阈值改善,目标函数敏感区间,收益率敏感区间,资本利得敏感区间_BP
供给分位阈值,35/65,保留原始阈值,165.04842105262148,0.10193731842478182,0.049263769170937444,88.6999999999959,51.239999999994836,0.7368421052631579,0.0,126.91423057642479,0.07567361206419987,70.85999999999395
利差周变化阈值,±1BP,保留原始阈值,165.04842105262148,0.10193731842478182,0.049263769170937444,88.6999999999959,51.239999999994836,0.7368421052631579,0.0,24.999675954592618,0.01170402627123468,11.870000000001028
银行需求分位阈值,35/65,采用候选阈值,174.13542857141874,0.1123303363771353,0.04686425218426593,98.7199999999969,48.34999999999389,0.7321428571428571,9.087007518797265,9.087007518797265,0.010393017952353478,10.020000000001005
地方债NCD利差阈值,25/75,保留原始阈值,165.04842105262148,0.10193731842478182,0.049263769170937444,88.6999999999959,51.239999999994836,0.7368421052631579,0.0,8.387041742285703,0.0058652455814245386,5.900000000000034
地方债国债利差阈值,30/70,采用候选阈值,170.1157931034381,0.10480533647668056,0.05109005053287263,91.40999999999586,53.009999999994804,0.7413793103448276,5.06737205081663,5.5673720508176245,0.003447779118005867,3.2099999999999795
