training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
2,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
3,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
4,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
5,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
6,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
7,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
8,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
9,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
10,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
11,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
12,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
13,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
14,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
15,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
16,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
17,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
18,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
19,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
20,178.46979310344284,100.52999999999889,50.4199999999959,16.34999999999907,15.69000000000004
