信号日期,基线仓位,基线策略资本利得_BP,基线基准资本利得_BP,基线资本利得超额_BP,基线资本利得判断类型,最优仓位,最优策略资本利得_BP,最优资本利得超额_BP,最优资本利得判断类型,仓位是否变化,资本利得判断是否变化,资本利得改善_BP
2024-12-26,0.0,0.0,0.0,0.0,其他,1.0,9.790000000000006,-3.0900000000009733,有效进攻,是,是,9.790000000000006
2025-09-05,1.0,-2.5000000000009734,-1.999999999999988,-0.5000000000009854,该空没空,0.0,0.0,0.0,其他,是,是,2.5000000000009734
2025-06-12,0.0,0.0,0.0,0.0,其他,1.0,1.999999999999988,2.549999999999983,其他,是,否,1.999999999999988
2022-04-07,0.0,0.0,0.0,0.0,其他,1.0,1.7800000000000107,-0.3200000000009793,有效进攻,是,是,1.7800000000000107
2022-07-19,1.0,-1.0200000000009855,-0.21999999999997716,-0.8000000000010083,该空没空,0.0,0.0,0.0,其他,是,是,1.0200000000009855
2025-06-11,0.0,0.0,0.0,0.0,其他,1.0,0.7099999999999815,-0.7800000000000167,有效进攻,是,是,0.7099999999999815
2026-05-15,0.0,0.0,0.0,0.0,其他,1.0,0.29000000000001247,0.9900000000000186,其他,是,否,0.29000000000001247
2025-08-08,1.0,-0.12999999999999123,0.029999999999995308,-0.15999999999998654,其他,0.0,0.0,0.0,其他,是,否,0.12999999999999123
2023-07-04,0.0,0.0,0.0,0.0,其他,1.0,0.10000000000100207,0.8500000000010236,其他,是,否,0.10000000000100207
2022-01-14,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-01-17,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-01-18,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-05-27,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-05-28,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-05-29,1.0,2.0600000000000134,1.0299999999999891,1.0300000000000242,有效进攻,1.0,2.0600000000000134,1.0300000000000242,有效进攻,否,否,0.0
2026-06-01,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-02,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-03,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-04,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-02-08,1.0,0.07999999999900448,0.2899999999999778,-0.2100000000009733,有效进攻,1.0,0.07999999999900448,-0.2100000000009733,有效进攻,否,否,0.0
2026-06-08,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-09,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-10,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-11,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-12,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-15,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-16,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-17,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-18,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-22,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-23,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-24,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-25,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-26,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-29,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-06-30,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-07-01,1.0,-0.059999999999990616,-1.1799999999989943,1.1199999999990036,其他,1.0,-0.059999999999990616,1.1199999999990036,其他,否,否,0.0
2026-07-02,1.0,0.5000000000009858,0.37999999999902695,0.12000000000195882,有效进攻,1.0,0.5000000000009858,0.12000000000195882,有效进攻,否,否,0.0
2026-07-03,1.0,0.0,-0.5300000000000096,0.5300000000000096,其他,1.0,0.0,0.5300000000000096,其他,否,否,0.0
2026-07-06,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-07-07,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-07-08,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-07-09,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-01-20,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-13,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-14,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-15,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-18,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-19,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-03-25,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-03-28,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-03-29,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-25,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-26,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-27,1.0,0.5600000000000049,-1.5099999999999836,2.0699999999999887,其他,1.0,0.5600000000000049,2.0699999999999887,其他,否,否,0.0
2022-04-28,1.0,2.2400000000009914,-0.7499999999990153,2.990000000000007,其他,1.0,2.2400000000009914,2.990000000000007,其他,否,否,0.0
2022-04-29,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-08,1.0,-0.3900000000000084,-1.349999999999997,0.9599999999999886,其他,1.0,-0.3900000000000084,0.9599999999999886,其他,否,否,0.0
2022-04-11,1.0,2.0600000000000134,-1.5099999999999836,3.5699999999999967,其他,1.0,2.0600000000000134,3.5699999999999967,其他,否,否,0.0
2022-04-12,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-05-10,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-05-11,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-05-12,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-05-13,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-05-16,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-20,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-21,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-04-22,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-04-13,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-04-14,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-04-15,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-04-16,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2026-04-17,0.0,0.0,0.0,0.0,其他,0.0,0.0,0.0,其他,否,否,0.0
2022-05-05,1.0,2.849999999999971,1.0400000000010055,1.8099999999989653,有效进攻,1.0,2.849999999999971,1.8099999999989653,有效进攻,否,否,0.0
