信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给/发行量_得分,供给/发行占比_得分,供给/10Y以上发行_得分,需求/银行总净买入_得分,估值/地方债-国债利差_得分,估值/地方债-国债利差变化_得分,估值/地方债-NCD利差_得分,情绪/非银情绪_得分,供给/发行量变化_得分,需求/银行总净买入变化_得分,情绪/非银情绪变化_得分,估值/地方债-NCD利差变化_得分,估值/地方债-国债利差变化加速度_得分,供需/供给×银行承接_得分,供需/供给×非银承接_得分
2024-12-23,2025-01-06,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,7.5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-01-06,2025-01-13,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,15.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-01-13,2025-01-20,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-01-20,2025-01-27,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-01-27,2025-02-03,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,15.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2025-02-03,2025-02-10,1.0,看多,0.0014110137975251735,0.0026377915680120267,-0.0012267777704868532,0.00021329365079365077,0.0011978999657508,1.3200000000000018,2.6699999999989927,-1.349999999998991,是,有效进攻,是,否,有效进攻,0.0,2.5,0.0,0.0,5.0,5.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-02-10,2025-02-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,0.0,0.0,5.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-02-17,2025-02-24,1.0,看多,-0.006820603245627055,-0.005653427117287335,-0.0011671761283397197,0.00035992063492063496,-0.007194923512064501,-7.929999999999014,-6.539999999999984,-1.3899999999990298,否,该空没空,否,是,该空没空,0.0,0.0,0.0,0.0,5.0,10.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-02-24,2025-03-03,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-03-03,2025-03-10,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,7.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-10,2025-03-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,7.5,0.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2025-03-17,2025-03-24,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-24,2025-03-31,1.0,看多,0.0013236303729553534,0.003367330572122018,-0.002043700199166665,0.00041237301587301547,0.0009177797900765006,1.0300000000009955,3.3199999999999896,-2.289999999998994,是,有效进攻,是,否,有效进攻,0.0,2.5,0.0,0.0,10.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-03-31,2025-04-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,0.0,0.0,10.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-07,2025-04-14,1.0,看多,0.00283240418297237,0.005877373120800611,-0.0030449689378282407,0.0003807460317460313,0.0024729240429797,2.7599999999999847,6.120000000000014,-3.3600000000000296,是,有效进攻,是,否,有效进攻,0.0,2.5,0.0,0.0,10.0,10.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2025-04-14,2025-04-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,0.0,0.0,10.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-04-21,2025-04-28,1.0,看多,0.00167512284891691,-0.0007085924578639213,0.0023837153067808314,0.0003773531746031742,0.0012985591958642939,1.4399999999999828,-1.1299999999999852,2.5699999999999683,是,其他,否,否,其他,0.0,2.5,7.5,0.0,10.0,10.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-04-28,2025-05-05,1.0,看多,0.004783135643400271,0.00351937800142621,0.0012637576419740615,0.0002244484126984123,0.0045535074243193,5.04000000000001,3.6299999999999875,1.4100000000000223,是,有效进攻,是,否,有效进攻,0.0,0.0,7.5,0.0,10.0,10.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-05-05,2025-05-12,1.0,看多,0.0011945255225840334,-0.0007314554903165016,0.001925981012900535,0.0002927579365079361,0.0009039518178490999,0.999999999999994,-1.080000000000004,2.0799999999999983,是,其他,否,否,其他,0.0,5.0,7.5,0.0,10.0,5.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2025-05-12,2025-05-19,1.0,看多,-0.0019011896039535792,-0.0037249173982427664,0.0018237277942891872,0.00036865873015873014,-0.0022662812905043994,-2.5000000000000027,-4.4199999999999795,1.9199999999999768,否,其他,否,是,其他,0.0,5.0,7.5,0.0,10.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-19,2025-05-26,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,0.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-05-26,2025-06-02,1.0,看多,-0.0007162112297821599,0.004863137155764585,-0.005579348385546745,0.00037043650793650755,-0.0010860442854185998,-1.2000000000000204,4.959999999999999,-6.16000000000002,否,其他,是,是,其他,0.0,0.0,7.5,0.0,5.0,10.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-06-02,2025-06-09,1.0,看多,0.0020618737702662315,0.0017726452756778865,0.000289228494588345,0.00029630952380952383,0.0017640339702683998,1.9500000000000073,1.6500000000000195,0.29999999999998783,是,有效进攻,是,否,有效进攻,0.0,5.0,15.0,0.0,10.0,0.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-06-09,2025-06-16,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,15.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-06-16,2025-06-23,1.0,看多,0.0019068399537318648,0.0007280453789355601,0.0011787945747963047,0.00035599603174603134,0.0015512978718025,1.7100000000000104,0.439999999999989,1.2700000000000213,是,有效进攻,是,否,有效进攻,0.0,2.5,7.5,0.0,5.0,10.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-06-23,2025-06-30,1.0,看多,-9.998992418025487e-05,-0.000278427083339583,0.00017843715915932812,0.00035555555555555514,-0.00045464157845260004,-0.5000000000000143,-0.6600000000000008,0.1599999999999865,否,其他,否,是,其他,0.0,0.0,0.0,0.0,5.0,10.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2025-06-30,2025-07-07,1.0,看多,0.002854776037312323,0.0005913784648208242,0.002263397572491499,0.00035505952380952377,0.0024978730211148,2.7500000000000098,0.2900000000000125,2.4599999999999973,是,有效进攻,是,否,有效进攻,0.0,5.0,15.0,0.0,5.0,5.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2025-07-07,2025-07-14,1.0,看多,-0.0005604783417959558,-0.0016862282410268215,0.0011257498992308657,0.00035032142857142857,-0.0009098402865164038,-0.9999999999999938,-2.2000000000000144,1.2000000000000206,否,其他,否,是,其他,0.0,2.5,7.5,0.0,5.0,5.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-07-14,2025-07-21,1.0,看多,0.001306326499852517,0.0003367661297630775,0.0009695603700894395,0.00035176190476190474,0.000954326066087981,1.0499999999999745,0.010000000000009973,1.0399999999999645,是,有效进攻,是,否,有效进攻,0.0,0.0,7.5,0.0,5.0,5.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-07-21,2025-07-28,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2025-07-28,2025-08-04,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-08-04,2025-08-11,1.0,看多,0.00016958511579767688,0.0018715106861098008,-0.0017019255703121239,0.00036169047619047617,-0.00019104303076730015,-0.2100000000000016,1.6800000000000148,-1.8900000000000163,否,其他,是,否,有效进攻,0.0,5.0,15.0,0.0,5.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-11,2025-08-18,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,15.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2025-08-18,2025-08-25,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-08-25,2025-09-01,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-01,2025-09-08,1.0,看多,0.0008213811736477172,0.001433182036726599,-0.0006118008630788818,0.00039671825396825317,0.0004285621944103003,0.47999999999902343,1.1900000000000106,-0.7100000000009872,是,有效进攻,是,否,有效进攻,0.0,5.0,15.0,0.0,5.0,10.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-08,2025-09-15,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,0.0,0.0,10.0,0.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2025-09-15,2025-09-22,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,7.5,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-09-22,2025-09-29,1.0,看多,-0.0011953729447566896,0.0005544026000243729,-0.0017497755447810626,0.00040544841269841275,-0.0015926071535911001,-1.770000000000001,0.2100000000000024,-1.9800000000000033,否,其他,是,是,其他,0.0,2.5,0.0,0.0,10.0,10.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2025-09-29,2025-10-06,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,15.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-06,2025-10-13,1.0,看多,-0.0006616502406689984,0.0014593494466312862,-0.0021209996873002845,0.00016268650793650755,-0.0008242534364685392,-0.9200000000009896,1.4499999999999929,-2.3700000000009824,否,其他,是,是,其他,0.0,5.0,15.0,0.0,10.0,5.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-10-13,2025-10-20,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,15.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-10-20,2025-10-27,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,7.5,0.0,5.0,10.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-10-27,2025-11-03,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,7.5,0.0,5.0,5.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2025-11-03,2025-11-10,1.0,看多,0.0037697504643863233,-0.0013496103385125524,0.005119360802898876,0.00040068650793650756,0.003364652652506431,3.7500000000000036,-1.8799999999999721,5.629999999999976,是,其他,否,否,其他,0.0,5.0,15.0,0.0,10.0,5.0,0.0,50.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
2025-11-10,2025-11-17,1.0,看多,0.0002904959612208824,0.0003773242037736768,-8.682824255279442e-05,0.00039380555555555555,-0.00010049247050542194,-0.11000000000000548,0.01999999999998528,-0.12999999999999076,否,其他,是,否,有效进攻,0.0,2.5,7.5,0.0,5.0,10.0,0.0,50.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-11-17,2025-11-24,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,7.5,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0
2025-11-24,2025-12-01,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0
