training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,91.51953521126985,89.9100000000029,50.620000000006804,3.369999999997021,3.0799999999989156
2,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
3,89.46981818182276,85.99000000000478,55.7600000000066,4.819999999996981,4.839999999998943
4,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
5,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
6,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
7,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
8,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
9,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
10,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
11,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
12,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
13,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
14,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
15,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
16,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
17,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
18,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
19,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
20,89.46981818182276,85.9900000000048,55.76000000000662,4.819999999996981,4.839999999998943
