日期,信号日期,总分,结论,仓位,条件基准仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2022-10-27,2022-10-24,60.0,中性,0.0,0.0,2.9397,2.6953,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.889999999998977,0.7299999999989624,19.16000000000001,0.007920555555555549,0.01687215584881286,0.007185238095238092,0.0005729906789663746,1.0250308757032427,1.0077321246051358,1.0171660212825755
2022-10-28,2022-10-24,60.0,中性,0.0,0.0,2.9272,2.6653,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.889999999998977,0.7299999999989624,19.16000000000001,0.007920555555555549,0.01687215584881286,0.007185238095238092,0.0005729906789663746,1.0250308757032427,1.0077321246051358,1.0171660212825755
2022-10-31,2022-10-31,20.0,看空,0.0,0.0,2.9352,2.6433,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,19.889999999998977,0.7299999999989624,19.16000000000001,0.007920555555555549,0.01687215584881286,0.007185238095238092,0.0005729906789663746,1.0250308757032427,1.0077321246051358,1.0171660212825755
2022-11-01,2022-10-31,20.0,看空,0.0,0.0,2.9366,2.6629,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,19.889999999998977,0.7299999999989624,19.16000000000001,0.007920555555555549,0.01687215584881286,0.007185238095238092,0.0005729906789663746,1.0250308757032427,1.0077321246051358,1.0171660212825755
2022-11-02,2022-10-31,20.0,看空,0.0,0.0,2.9402,2.6854,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,19.889999999998977,0.7299999999989624,19.16000000000001,0.007920555555555549,0.01687215584881286,0.007185238095238092,0.0005729906789663746,1.0250308757032427,1.0077321246051358,1.0171660212825755
2022-11-03,2022-10-31,20.0,看空,0.0,0.0,2.9471,2.6776,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,19.889999999998977,0.7299999999989624,19.16000000000001,0.007920555555555549,0.01687215584881286,0.007185238095238092,0.0005729906789663746,1.0250308757032427,1.0077321246051358,1.0171660212825755
2022-11-04,2022-10-31,20.0,看空,0.0,0.0,2.9554,2.7023,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,19.889999999998977,0.7299999999989624,19.16000000000001,0.007920555555555549,0.01687215584881286,0.007185238095238092,0.0005729906789663746,1.0250308757032427,1.0077321246051358,1.0171660212825755
2022-11-07,2022-11-07,95.0,看多,1.0,1.0,2.955,2.7003,0.00015147638365691106,0.0002804597005795969,0.00011727777777777778,3.419860587913329e-05,0.00010723412698412697,0.0001732255735954699,1.0043650793650807e-05,-0.0001390269677163366,0.04000000000000531,0.19999999999999185,-0.15999999999998654,19.929999999998984,0.9299999999989542,19.000000000000025,0.008037833333333327,0.016906354454691994,0.007292472222222218,0.0007462162525618444,1.0251861436734309,1.0080147528550671,1.0170348606205692
2022-11-08,2022-11-07,95.0,看多,1.0,1.0,2.9632,2.6853,-0.0005838238432478851,0.001406480165996475,0.00011726190476190476,-0.0007010857480097898,0.00010715476190476191,0.001299325404091713,1.0107142857142853e-05,-0.002000411152101503,-0.8199999999999874,1.5000000000000082,-2.319999999999996,19.109999999998998,2.4299999999989623,16.680000000000028,0.008155095238095232,0.016205268706682204,0.007399626984126981,0.0020455416566535576,1.024587615558987,1.0094325056119897,1.0150134950704894
2022-11-09,2022-11-07,95.0,看多,1.0,1.0,2.9604,2.6953,0.00035688217234907,-0.0007603258563932426,0.00011758730158730158,0.00023929487076176844,0.0001065595238095238,-0.0008668853802027664,1.1027777777777785e-05,0.0011061802509645348,0.28000000000000247,-1.0000000000000286,1.2800000000000311,19.389999999999,1.4299999999989337,17.960000000000058,0.008272682539682533,0.016444563577443973,0.007506186507936504,0.0011786562764507912,1.0249532726129895,1.008665007977689,1.0161483391477586
