日期,信号日期,总分,结论,目标仓位,仓位,止盈止损事件,条件基准仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2025-10-10,2025-10-06,82.5,看多,1.0,1.0,,1.0,2.0592,1.846,-0.0007697935292360124,0.00012760843040980646,8.13373015873016e-05,-0.000851130830823314,7.327777777777778e-05,5.4330652632028684e-05,8.059523809523817e-06,-0.0009054614834553427,-0.9499999999999786,0.059999999999990616,-1.0099999999999691,53.61999999999904,20.730000000001095,32.88999999999792,0.010600988095238085,0.046103772710991885,0.00961880158730158,0.01797655985234399,1.0582348185200632,1.0278648138864193,1.02954669157203
2025-10-13,2025-10-13,77.5,看多,1.0,1.0,,1.0,2.0314,1.8383,0.0025711558722206133,0.0007705193163444293,8.171428571428571e-05,0.0024894415865063277,7.325396825396825e-05,0.000697265348090461,8.460317460317457e-06,0.0017921762384158666,2.7800000000000047,0.7700000000000068,2.009999999999998,56.39999999999904,21.5000000000011,34.89999999999792,0.01068270238095237,0.04859321429749821,0.00969205555555555,0.018673825200434452,1.0609557051878893,1.0286568035801096,1.0313991036615588
2025-10-14,2025-10-13,77.5,看多,1.0,1.0,,1.0,2.0348,1.8368,-0.00022429563926221023,0.00020883427394140642,8.061111111111111e-05,-0.00030490675037332134,7.29484126984127e-05,0.00013588586124299373,7.662698412698411e-06,-0.00044079261161631507,-0.3400000000000278,0.15000000000001124,-0.490000000000039,56.059999999999015,21.650000000001114,34.40999999999788,0.010763313492063482,0.04828830754712489,0.009765003968253963,0.018809711061677444,1.0607177374497654,1.0288716223768202,1.0309524671303274
2025-10-15,2025-10-13,77.5,看多,1.0,1.0,,1.0,2.0374,1.8449,-0.00015237651390604258,-0.0006609525862094237,8.074603174603175e-05,-0.00023312254565207433,7.288888888888888e-05,-0.0007338414750983126,7.857142857142866e-06,0.0005007189294462383,-0.25999999999998247,-0.810000000000012,0.5500000000000296,55.79999999999903,20.8400000000011,34.95999999999791,0.010844059523809515,0.048055185001472815,0.009837892857142852,0.01807586958657913,1.0605561089786943,1.0281915870171328,1.0314771316651732
2025-10-16,2025-10-13,77.5,看多,1.0,1.0,,1.0,2.025,1.8407,0.0011925133252219298,0.00045355884505691784,8.084920634920634e-05,0.0011116641188727234,7.321031746031746e-05,0.0003803485275966004,7.638888888888883e-06,0.000731315591276123,1.239999999999991,0.4200000000000037,0.8199999999999874,57.03999999999902,21.260000000001106,35.7799999999979,0.01092490873015872,0.04916684912034554,0.00991110317460317,0.01845621811417573,1.061820836270797,1.0286579324058376,1.032239000760338
2025-10-17,2025-10-13,77.5,看多,1.0,1.0,,1.0,2.0247,1.8246,0.00010726968358787507,0.0015313680267537897,8.035714285714285e-05,2.6912540730732216e-05,7.304365079365079e-05,0.0014583243759601389,7.31349206349206e-06,-0.0014314118352294067,0.029999999999995308,1.610000000000014,-1.5800000000000187,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-10-20,2025-10-20,65.0,中性,0.0,0.0,,0.0,2.0192,1.8498,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-10-21,2025-10-20,65.0,中性,0.0,0.0,,0.0,2.0225,1.8357,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-10-22,2025-10-20,65.0,中性,0.0,0.0,,0.0,2.0225,1.8293,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-10-23,2025-10-20,65.0,中性,0.0,0.0,,0.0,2.0434,1.8391,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-10-24,2025-10-20,65.0,中性,0.0,0.0,,0.0,2.0436,1.8486,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-10-27,2025-10-27,62.5,中性,0.0,0.0,,0.0,2.0507,1.8423,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-10-28,2025-10-27,62.5,中性,0.0,0.0,,0.0,2.0189,1.8179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-10-29,2025-10-27,62.5,中性,0.0,0.0,,0.0,2.0347,1.8208,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-10-30,2025-10-27,62.5,中性,0.0,0.0,,0.0,2.0371,1.8098,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-10-31,2025-10-27,62.5,中性,0.0,0.0,,0.0,2.0325,1.7954,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-11-03,2025-11-03,62.5,中性,0.0,0.0,,0.0,2.0296,1.7944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-11-04,2025-11-03,62.5,中性,0.0,0.0,,0.0,2.0294,1.7984,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
2025-11-05,2025-11-03,62.5,中性,0.0,0.0,,0.0,2.0104,1.7964,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.06999999999901,22.87000000000112,34.19999999999788,0.011005265873015863,0.04919376166107627,0.00998414682539682,0.01991454249013587,1.061934737455931,1.0302331862739904,1.0307712385936572
