信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型
2024-07-22,2024-07-29,1.0,看多,0.003981165739289638,0.006402446671589512,-0.002421280932299874,0.0004620595238095238,0.0035147877988225,3.9800000000009974,6.700000000000976,-2.719999999999979,是,有效进攻,是,否,有效进攻
2024-07-29,2024-08-05,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-08-05,2024-08-12,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-08-12,2024-08-19,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-08-19,2024-08-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-08-26,2024-09-02,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-09-02,2024-09-09,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-09-09,2024-09-16,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-09-16,2024-09-23,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-09-23,2024-09-30,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-09-30,2024-10-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-10-07,2024-10-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-10-14,2024-10-21,1.0,看多,0.0054692032194139095,0.0030869073160459948,0.0023822959033679147,0.0003628492063492063,0.005096573589998772,5.760000000000002,3.080000000000027,2.6799999999999744,是,有效进攻,是,否,有效进攻
2024-10-21,2024-10-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-10-28,2024-11-04,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-11-04,2024-11-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
2024-11-11,2024-11-18,1.0,看多,0.0015989356701244795,0.0014719976294890191,0.00012693804063546033,0.0004474365079365079,0.0011514128042301119,1.2999999999999818,1.189999999999976,0.11000000000000587,是,有效进攻,是,否,有效进攻
2024-11-18,2024-11-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他
