training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
2,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
3,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
4,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
5,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
6,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
7,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
8,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
9,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
10,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
11,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
12,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
13,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
14,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
15,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
16,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
17,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
18,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
19,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
20,177.4109565217529,92.57000000000407,60.2400000000089,40.62000000000097,32.68000000000184
