交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期满仓基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
1,2025-01-13,2025-01-24,2025-01-24,空头,-1.0,1.0,10,28.513140519524224,-28.513140519524224,57.02628103904845,是,是,已平仓
2,2025-01-27,2025-02-21,2025-02-21,多头,0.7,0.7,14,-25.854844582504917,-36.93549226072131,11.080647678216394,否,是,已平仓
3,2025-02-24,2025-03-07,2025-03-07,空头,-1.0,1.0,10,123.5552609482572,-123.5552609482572,247.1105218965144,是,是,已平仓
4,2025-03-10,2025-07-18,2025-07-18,多头,0.7,0.7733333333333333,90,196.62475140942067,212.26375988863143,-15.639008479210759,是,是,已平仓
5,2025-07-21,2025-07-25,2025-07-25,空头,-1.0,1.0,5,55.593213039434026,-55.593213039434026,111.18642607886805,是,是,已平仓
6,2025-07-28,2025-08-15,2025-08-15,多头,0.7,0.6999999999999998,15,-10.08110035881274,-14.401571941161052,4.320471582348311,否,是,已平仓
7,2025-08-18,2025-08-29,2025-08-29,空头,-1.0,1.0,10,151.97617881404219,-151.97617881404219,303.95235762808437,是,是,已平仓
8,2025-09-01,2025-11-21,2025-11-21,多头,1.0,0.7944444444444447,54,29.789892407066716,30.263550838910895,-0.47365843184417855,是,是,已平仓
9,2025-11-24,2025-11-28,2025-11-28,空头,-1.0,1.0,5,44.302342134854364,-44.302342134854364,88.60468426970873,是,是,已平仓
10,2025-12-01,,2026-07-10,多头,0.7,0.742857142857143,147,119.64827256177007,175.60080468447643,-55.95253212270636,是,否,未平仓
