日期,信号日期,总分,结论,仓位,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2025-01-13,2025-01-13,45.0,中性,0.0,-0.0,-0.0015272916619029002,0.0,-0.0,7.107142857142856e-05,-0.0015983630904743288,-7.107142857142856e-05,0.0015983630904743288,-0.0,-15.983630904743288,15.983630904743288,-0.0,-15.983630904743288,15.983630904743288,0.0,-0.0,7.107142857142856e-05,-0.0015983630904743288,1.0,0.9984727083380971,1.0015296278497636
2025-01-14,2025-01-13,45.0,中性,0.0,-0.0,-0.0010533079160398322,0.0,-0.0,7.176984126984128e-05,-0.0011250777573096735,-7.176984126984128e-05,0.0011250777573096735,-0.0,-11.250777573096734,11.250777573096734,-0.0,-27.23440847784002,27.23440847784002,0.0,-0.0,0.00014284126984126982,-0.0027234408477840024,1.0,0.9974210091304548,1.0025856592611715
2025-01-15,2025-01-13,45.0,中性,0.0,0.0,9.946379242872587e-05,0.0,0.0,7.226190476190476e-05,2.7201887666821106e-05,-7.226190476190476e-05,-2.7201887666821106e-05,0.0,0.27201887666821106,-0.27201887666821106,0.0,-26.962389601171807,26.962389601171807,0.0,0.0,0.0002151031746031746,-0.002696238960117181,1.0,0.9975202164066711,1.0024859482069062
2025-01-16,2025-01-13,45.0,中性,0.0,0.0,9.945231655019865e-05,0.0,0.0,7.225000000000001e-05,2.720231655019864e-05,-7.225000000000001e-05,-2.720231655019864e-05,0.0,0.2720231655019864,-0.2720231655019864,0.0,-26.69036643566982,26.69036643566982,0.0,0.0,0.0002873531746031746,-0.0026690366435669823,1.0,0.9976194221029985,1.0023862585714132
2025-01-17,2025-01-13,45.0,中性,0.0,0.0,3.5967767980053625e-05,0.0,-0.0,7.223809523809524e-05,-3.627032725804161e-05,-7.223809523809524e-05,3.627032725804161e-05,-0.0,-0.3627032725804161,0.3627032725804161,0.0,-27.053069708250234,27.053069708250234,0.0,0.0,0.0003595912698412698,-0.002705306970825024,1.0,0.997655304246905,1.0023502062717593
2025-01-20,2025-01-20,10.0,看空,0.0,-0.0,-5.46895084898892e-05,0.0,-0.0,7.225396825396824e-05,-0.00012694347674385744,-7.225396825396824e-05,0.00012694347674385744,-0.0,-1.2694347674385744,1.2694347674385744,0.0,-28.32250447568881,28.32250447568881,0.0,0.0,0.00043184523809523806,-0.0028322504475688814,1.0,0.9976007429686734,1.0024050273100107
2025-01-21,2025-01-20,10.0,看空,0.0,0.0,0.0009064481389553685,0.0,0.0,7.23095238095238e-05,0.0008341386151458446,-7.23095238095238e-05,-0.0008341386151458446,0.0,8.341386151458446,-8.341386151458446,0.0,-19.981118324230366,19.981118324230366,0.0,0.0,0.0005041547619047619,-0.0019981118324230366,1.0,0.9985050163055579,1.0014972220169445
2025-01-22,2025-01-20,10.0,看空,0.0,-0.0,-0.0014066463752538945,0.0,-0.0,7.194444444444445e-05,-0.0014785908196983388,-7.194444444444445e-05,0.0014785908196983388,-0.0,-14.785908196983389,14.785908196983389,0.0,-34.76702652121375,34.76702652121375,0.0,0.0,0.0005760992063492063,-0.0034767026521213755,1.0,0.9971004728436988,1.002907958861991
2025-01-23,2025-01-20,10.0,看空,0.0,0.0,0.00064358181261204,0.0,0.0,7.259126984126984e-05,0.0005709905427707701,-7.259126984126984e-05,-0.0005709905427707701,0.0,5.709905427707701,-5.709905427707701,0.0,-29.057121093506048,29.057121093506048,0.0,0.0,0.0006486904761904762,-0.0029057121093506054,1.0,0.9977421885733679,1.002262920674789
2025-01-24,2025-01-20,10.0,看空,0.0,0.0,0.000126739327239453,0.0,0.0,7.234126984126984e-05,5.439805739818315e-05,-7.234126984126984e-05,-5.439805739818315e-05,0.0,0.5439805739818314,-0.5439805739818314,0.0,-28.513140519524217,28.513140519524217,0.0,0.0,0.000721031746031746,-0.002851314051952422,1.0,0.9978686417471062,1.0021359106436716
