信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性
2025-04-28,2025-05-05,0.0,中性,0.0,0.0047831356434004935,-0.0047831356434004935,0.0,0.0,0.0,45.535074243195325,-45.535074243195325,否,低仓少吃,是,否,低仓少吃,10.0,利多,0.0,利空,10.0,利多,0.0,中性,10.0,中性,12.5,中性,0.0,利多,2.5,中性,20.0,利多
2025-05-05,2025-05-12,1.0,看多,0.0011945255225838114,0.0011945255225838114,0.0,0.0002927579365079361,0.0009039518178491914,9.039518178491914,9.039518178491914,0.0,是,有效进攻,是,否,有效进攻,5.0,中性,10.0,利多,10.0,利多,0.0,中性,10.0,中性,12.5,中性,0.0,中性,2.5,中性,20.0,利多
2025-05-12,2025-05-19,0.0,中性,0.0,-0.0019011896039536902,0.0019011896039536902,0.0,0.0,0.0,-22.662812905043356,22.662812905043356,否,有效防守,否,否,有效防守,5.0,中性,10.0,利多,5.0,中性,0.0,中性,10.0,中性,12.5,中性,0.0,利多,5.0,利多,20.0,利多
2025-05-19,2025-05-26,0.0,中性,0.0,0.0008196565579057236,-0.0008196565579057236,0.0,0.0,0.0,4.516554397654411,-4.516554397654411,否,低仓少吃,是,否,低仓少吃,0.0,利空,5.0,中性,5.0,中性,0.0,中性,20.0,利多,12.5,中性,0.0,中性,5.0,利多,0.0,利空
2025-05-26,2025-06-02,0.0,中性,0.0,-0.0007162112297822709,0.0007162112297822709,0.0,0.0,0.0,-10.860442854186958,10.860442854186958,否,有效防守,否,否,有效防守,0.0,利空,0.0,利空,5.0,中性,0.0,中性,20.0,利多,0.0,利空,0.0,利多,5.0,利多,20.0,利多
2025-06-02,2025-06-09,1.0,看多,0.0020618737702662315,0.0020618737702662315,0.0,0.00029630952380952383,0.0017640339702686709,17.64033970268671,17.64033970268671,0.0,是,有效进攻,是,否,有效进攻,5.0,中性,10.0,利多,10.0,利多,0.0,中性,10.0,中性,12.5,中性,0.0,利空,2.5,中性,20.0,利多
2025-06-09,2025-06-16,0.0,中性,0.0,0.004712446658018621,-0.004712446658018621,0.0,0.0,0.0,43.40088972529422,-43.40088972529422,否,低仓少吃,是,否,低仓少吃,5.0,中性,10.0,利多,10.0,利多,0.0,中性,0.0,利空,12.5,中性,0.0,中性,5.0,利多,0.0,利空
2025-06-16,2025-06-23,0.0,中性,0.0,0.0019068399537318648,-0.0019068399537318648,0.0,0.0,0.0,15.512978718024575,-15.512978718024575,否,低仓少吃,是,否,低仓少吃,0.0,利空,5.0,中性,5.0,中性,0.0,中性,10.0,中性,12.5,中性,0.0,利多,2.5,中性,20.0,利多
2025-06-23,2025-06-30,0.0,中性,0.0,-9.998992418014385e-05,9.998992418014385e-05,0.0,0.0,0.0,-4.546415784526241,4.546415784526241,否,有效防守,否,否,有效防守,0.0,利空,0.0,利空,0.0,利空,0.0,中性,20.0,利多,0.0,利空,0.0,利多,2.5,中性,20.0,利多
2025-06-30,2025-07-07,1.0,看多,0.002854776037312323,0.002854776037312323,0.0,0.00035505952380952377,0.002497873021114854,24.97873021114854,24.97873021114854,0.0,是,有效进攻,是,否,有效进攻,10.0,利多,10.0,利多,10.0,利多,0.0,中性,20.0,利多,0.0,利空,0.0,中性,2.5,中性,20.0,利多
