区间,起始日期,结束日期,累计资本利得_BP,年化资本利得_BP,条件基准资本利得_BP,资本利得超额_BP,年化资本利得超额_BP,已平仓胜率,已平仓交易数,平均单笔_BP,平均亏损_BP,资本利得最大回撤_BP,平均持有交易日
搜索期,2022-01-13,2025-01-01,56.110000000002856,19.693203342619388,11.149999999994986,44.96000000000787,15.779832869083542,0.6610169491525424,59,0.9408474576271669,-1.672941176470649,-12.11999999999998,3.05
样本外,2025-01-02,2026-07-17,21.530000000001998,14.624150943397582,10.520000000001051,11.010000000000947,7.47849056603838,0.5277777777777778,36,0.598055555555611,-1.1087499999998771,-6.1299999999990185,1.9166666666666667
2026年以来,2026-01-01,2026-07-17,9.370000000000974,18.447187500001917,2.019999999999105,7.350000000001869,14.470312500003681,0.4666666666666667,15,0.6246666666667317,-0.9171428571425748,-2.8699999999989845,2.2666666666666666
全区间,2022-01-13,2026-07-17,77.64000000000486,17.949798165138738,21.669999999996026,55.97000000000884,12.939853211011217,0.6145833333333334,96,0.8087500000000505,-1.399393939393911,-12.11999999999998,2.625
