signal_date,总分_raw,总分,仓位,结论,供给|发行量_得分,供给|发行量_乘数,供给|发行占比_得分,供给|发行占比_乘数,供给|10Y以上发行_得分,供给|10Y以上发行_乘数,需求|银行总净买入_得分,需求|银行总净买入_乘数,估值|地方债-国债利差_得分,估值|地方债-国债利差_乘数,估值|地方债-国债利差变化_得分,估值|地方债-国债利差变化_乘数,估值|地方债-NCD利差_得分,估值|地方债-NCD利差_乘数,供给|发行量变化_得分,供给|发行量变化_乘数,需求|银行总净买入变化_得分,需求|银行总净买入变化_乘数,估值|地方债-NCD利差变化_得分,估值|地方债-NCD利差变化_乘数,估值|地方债-国债利差变化加速度_得分,估值|地方债-国债利差变化加速度_乘数,供需交互|供给×银行承接_得分,供需交互|供给×银行承接_乘数,供需交互|供给×非银承接_得分,供需交互|供给×非银承接_乘数,supply_observed_at,bank_observed_at,valuation_observed_at,sentiment_observed_at,supply_amount_raw,supply_ratio_raw,supply_long_raw,bank_demand_raw,spread_gov_raw,nonbank_sentiment_raw,spread_ncd_raw,spread_change_raw,supply_amount_change_raw,bank_demand_change_raw,nonbank_sentiment_change_raw,spread_ncd_change_raw,spread_change_acceleration_raw
2022-01-27,32.5,32.5,0.0,中性,5.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,22.5,0.5,0.0,0.5,0.0,1.0,0.0,0.5,5.0,1.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,2022-01-26,2022-01-26,2022-01-26,2022-01-26,1452.4122,1.0,883.0695999999998,23.93,31.38000000000001,0.4201669999999999,58.84,1.9699999999999849,-17.0,10.27,-0.0857479999999999,2.089999999999961,5.350000000000012
2022-01-28,25.0,25.0,0.0,看空,5.0,0.5,0.0,0.0,15.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.5,5.0,1.0,0.0,0.5,0.0,0.5,2022-01-27,2022-01-27,2022-01-27,2022-01-27,567.6800000000001,1.0,424.8999999999997,9.96,29.25,0.4338329999999999,58.35,-1.5899999999999783,-884.7321999999999,-13.97,0.013666,-0.490000000000002,-3.559999999999963
2022-02-07,50.0,50.0,0.0,中性,5.0,0.5,5.0,1.0,15.0,0.5,0.0,1.0,22.5,0.5,0.0,0.5,0.0,1.0,0.0,0.5,2.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,2022-02-06,2022-01-29,2022-01-30,2022-01-28,738.2147,0.2695970845529385,450.7800999999998,11.619999999999996,31.28000000000002,0.3472719999999999,60.25,1.8200000000000216,170.53469999999993,1.6599999999999948,-0.086561,1.8999999999999984,3.41
2022-02-08,32.5,32.5,0.0,中性,5.0,0.5,5.0,1.0,15.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,2.5,0.5,0.0,1.0,5.0,1.0,0.0,0.25,0.0,0.5,2022-02-07,2022-02-07,2022-02-07,2022-02-07,738.2147,0.2695970845529385,450.7800999999998,8.889999999999999,29.04,0.2069039999999999,56.1,-2.3400000000000105,0.0,-2.729999999999997,-0.140368,-4.149999999999999,-4.160000000000032
2022-02-09,32.5,32.5,0.0,中性,10.0,1.0,5.0,1.0,15.0,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.5,2.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,1.0,2022-02-08,2022-02-07,2022-02-08,2022-02-08,401.4585,0.1671727827068423,231.0959999999998,8.889999999999999,29.389999999999983,0.2229459999999999,56.659999999999975,0.1399999999999828,-336.7562,-2.729999999999997,0.016042,0.5599999999999739,2.4799999999999933
2022-02-10,37.5,37.5,0.0,中性,10.0,1.0,5.0,1.0,15.0,0.5,0.0,0.5,0.0,0.0,0.0,1.0,0.0,0.5,0.0,0.5,2.5,0.5,0.0,0.5,5.0,1.0,0.0,0.5,0.0,1.0,2022-02-09,2022-02-09,2022-02-09,2022-02-09,401.4585,0.1671727827068423,231.0959999999998,7.549999999999998,27.719999999999967,0.2673279999999999,56.99999999999999,-3.5800000000000054,0.0,-1.3400000000000007,0.044382,0.3400000000000176,-3.719999999999988
2022-02-11,50.0,50.0,0.0,中性,10.0,1.0,5.0,1.0,30.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.5,2.5,0.5,0.0,0.5,2.5,0.5,0.0,1.0,0.0,1.0,2022-02-10,2022-02-10,2022-02-10,2022-02-10,0.0,0.0,0.0,12.61,29.139999999999983,0.821866,58.92,-2.1400000000000325,-401.4585,5.060000000000001,0.5545380000000001,1.9200000000000088,1.4399999999999729
2022-02-14,57.5,57.5,0.0,中性,10.0,1.0,5.0,1.0,15.0,0.5,0.0,1.0,22.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,2.5,0.5,0.0,0.0,2.5,0.5,0.0,1.0,0.0,1.0,2022-02-13,2022-02-11,2022-02-11,2022-02-11,537.3735,0.2117833657520265,331.5269999999998,15.03,30.57000000000003,0.8884639999999999,63.98000000000002,-0.7099999999999902,537.3735,2.42,0.0665979999999999,5.0600000000000165,1.4300000000000423
2022-02-15,27.5,27.5,0.0,看空,5.0,0.5,2.5,0.5,15.0,0.5,0.0,1.0,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.0,2.5,0.5,0.0,0.5,2.5,0.5,0.0,0.5,0.0,0.5,2022-02-14,2022-02-14,2022-02-14,2022-02-14,1061.5773,0.3467419555273026,571.9049999999997,21.34,28.549999999999983,0.949511,63.22999999999999,-0.4900000000000126,524.2037999999999,6.3100000000000005,0.061047,-0.7500000000000284,0.2199999999999776
2022-02-16,35.0,35.0,0.0,中性,5.0,0.5,2.5,0.5,0.0,0.0,0.0,1.0,22.5,0.5,0.0,0.5,0.0,1.0,0.0,0.0,2.5,0.5,0.0,0.5,2.5,0.5,0.0,0.5,0.0,0.5,2022-02-15,2022-02-15,2022-02-15,2022-02-15,2051.8723,0.5064010284825607,1172.2445,20.73,29.959999999999987,0.8450380000000001,62.63999999999999,0.5700000000000038,990.295,-0.6099999999999994,-0.1044729999999999,-0.5899999999999963,1.0600000000000165
2022-02-17,32.5,32.5,0.0,中性,5.0,0.5,2.5,0.5,0.0,0.0,0.0,1.0,22.5,0.5,0.0,0.0,0.0,1.0,0.0,0.5,2.5,0.5,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.5,2022-02-16,2022-02-16,2022-02-16,2022-02-16,2219.9823,0.6491209910647779,1196.8845,23.58,31.50999999999997,0.801533,63.93,3.790000000000002,168.11000000000013,2.849999999999998,-0.043505,1.2900000000000065,3.2199999999999984
