日期,信号日期,总分,结论,仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2024-09-30,2024-09-30,65.0,中性,0.0,2.2418,2.1518,0.0,0.001831068685796122,0.0,0.0,8.616666666666667e-05,0.0017449020191294554,-8.616666666666667e-05,-0.0017449020191294554,0.0,1.9600000000000173,-1.9600000000000173,21.360000000000024,63.42000000000001,-42.05999999999996,-0.003095861111111108,0.018342842695166423,0.06804170634920635,0.055144214502018875,1.0152042542472521,1.1302152301773063,0.8982397574734403
2024-10-08,2024-10-07,70.0,看多,1.0,2.3007,2.1928,-0.00513546838735529,-0.0035683912022883213,8.896031746031746e-05,-0.0052244287048156075,8.538888888888889e-05,-0.00365378009117721,3.571428571428573e-06,-0.0015706486136383975,-5.889999999999993,-4.100000000000007,-1.7899999999999858,15.47000000000003,59.32,-43.849999999999945,-0.0030069007936507903,0.013118413990350814,0.06812709523809524,0.05149043441084167,1.009990704892857,1.1261821800932492,0.8968271055480814
2024-10-09,2024-10-07,70.0,看多,1.0,2.3022,2.176,-4.134571263500117e-05,0.0015809800779039585,9.129761904761905e-05,-0.00013264333168262022,8.701587301587302e-05,0.0014939642048880854,4.281746031746032e-06,-0.0016266075365707056,-0.15000000000001124,1.6799999999999802,-1.8299999999999914,15.32000000000002,60.99999999999998,-45.679999999999936,-0.0029156031746031714,0.012985770658668194,0.06821411111111111,0.052984398615729754,1.0099489461074083,1.127962651684067,0.8953744564144368
2024-10-10,2024-10-07,70.0,看多,1.0,2.289,2.1441,0.0012585275425589135,0.002925585801698361,9.135714285714286e-05,0.0011671703997017707,8.634920634920635e-05,0.0028392365953491547,5.007936507936509e-06,-0.001672066195647384,1.3200000000000016,3.1900000000010045,-1.8700000000010029,16.640000000000022,64.19000000000098,-47.550000000000935,-0.0028242460317460284,0.014152941058369964,0.06830046031746032,0.05582363521107891,1.0112199946726628,1.13126260320268,0.8938861691439559
2024-10-11,2024-10-07,70.0,看多,1.0,2.3076,2.1392,-0.0015549437701627444,0.0005219299224278659,9.083333333333334e-05,-0.0016457771034960778,8.508333333333294e-05,0.00043684658909453304,5.750000000000397e-06,-0.0020826236925906108,-1.8599999999999866,0.4899999999989982,-2.349999999998985,14.780000000000035,64.67999999999998,-49.89999999999992,-0.002733412698412695,0.012507163954873887,0.06838554365079365,0.05626048180017344,1.0096476044416824,1.1318530430054152,0.8920306489266132
2024-10-14,2024-10-14,72.5,看多,1.0,2.286,2.1368,0.0020009511738672513,0.0002989092337609532,9.157142857142857e-05,0.0019093797452958226,8.488888888888889e-05,0.0002140203448720643,6.68253968253968e-06,0.0016953594004237582,2.160000000000009,0.23999999999999716,1.920000000000012,16.940000000000044,64.91999999999997,-47.97999999999991,-0.0026418412698412663,0.014416543700169709,0.06847043253968253,0.056474502145045506,1.0116678600009823,1.1321913643312298,0.8935484688125677
2024-10-15,2024-10-14,72.5,看多,1.0,2.2755,2.1254,0.001019926804619693,0.0011015175128413202,9.071428571428571e-05,0.0009292125189054073,8.47936507936508e-05,0.0010167238620476693,5.920634920634918e-06,-8.751134314226208e-05,1.0499999999999745,1.1400000000000299,-0.09000000000005537,17.99000000000002,66.06,-48.069999999999965,-0.0025511269841269808,0.015345756219075116,0.06855522619047619,0.05749122600709317,1.0126996871687695,1.1334384929469283,0.8934756437782175
2024-10-16,2024-10-14,72.5,看多,1.0,2.2747,2.1331,0.00016113339650369066,-0.0006028016623881839,9.029761904761905e-05,7.08357774560716e-05,8.434126984126984e-05,-0.0006871429322294537,5.9563492063492165e-06,0.0007579787096855254,0.08000000000001062,-0.7700000000000068,0.8500000000000174,18.07000000000003,65.28999999999999,-47.21999999999995,-0.0024608293650793616,0.015416591996531188,0.06863956746031746,0.05680408307486372,1.0128628669090012,1.1327552543391652,0.8941586128416524
2024-10-17,2024-10-14,72.5,看多,1.0,2.25,2.1084,0.002277411421357472,0.0022879735895856546,9.026587301587302e-05,0.002187145548341599,8.46468253968254e-05,0.002203326764188829,5.619047619047623e-06,-1.6181215847230375e-05,2.470000000000007,2.470000000000007,0.0,20.540000000000035,67.76,-47.21999999999995,-0.0023705634920634885,0.017603737544872787,0.06872421428571429,0.059007409839052546,1.0151695723703686,1.1353469684445574,0.894149190146838
2024-10-18,2024-10-14,72.5,看多,1.0,2.2649,2.1209,-0.0012317805216957034,-0.001032814839140226,8.928571428571429e-05,-0.0013210662359814176,8.366666666666666e-05,-0.0011164815058068926,5.619047619047623e-06,-0.00020458473017452507,-1.4899999999999982,-1.250000000000001,-0.2399999999999971,19.050000000000036,66.51,-47.459999999999944,-0.002281277777777774,0.01628267130889137,0.06880788095238095,0.057890928333245655,1.0139191062649047,1.134174365247975,0.8939711012100173
2024-10-21,2024-10-21,52.5,中性,0.0,2.2483,2.1211,0.0,6.631064025346372e-05,0.0,0.0,8.416269841269841e-05,-1.7852058159234693e-05,-8.416269841269841e-05,1.7852058159234693e-05,0.0,-0.020000000000020002,0.020000000000020002,19.050000000000036,66.48999999999998,-47.43999999999993,-0.002281277777777774,0.01628267130889137,0.06889204365079366,0.05787307627508642,1.0139191062649047,1.1342495730762936,0.8939118253445487
2024-10-22,2024-10-21,52.5,中性,0.0,2.264,2.1458,-0.0,-0.0021205355466404232,0.0,-0.0,8.417063492063492e-05,-0.002204706181561058,-8.417063492063492e-05,0.002204706181561058,-0.0,-2.4699999999990006,2.4699999999990006,19.050000000000036,64.02000000000098,-44.97000000000092,-0.002281277777777774,0.01628267130889137,0.0689762142857143,0.05566837009352536,1.0139191062649047,1.1318443565378236,0.8958114253150158
2024-10-23,2024-10-21,52.5,中性,0.0,2.2831,2.1559,-0.0,-0.0008152082963853141,0.0,-0.0,8.515079365079326e-05,-0.0009003590900361074,-8.515079365079326e-05,0.0009003590900361074,-0.0,-1.0100000000009755,1.0100000000009755,19.050000000000036,63.01,-43.959999999999944,-0.002281277777777774,0.01628267130889137,0.06906136507936508,0.054768011003489256,1.0139191062649047,1.130921667628157,0.8965422940311704
2024-10-24,2024-10-21,52.5,中性,0.0,2.2909,2.1661,-0.0,-0.0008232433806109442,0.0,-0.0,8.55515873015873e-05,-0.0009087949679125315,-8.55515873015873e-05,0.0009087949679125315,-0.0,-1.020000000000014,1.020000000000014,19.050000000000036,61.98999999999998,-42.93999999999993,-0.002281277777777774,0.01628267130889137,0.06914691666666667,0.053859216035576724,1.0139191062649047,1.1299906438512928,0.8972809746541024
2024-10-25,2024-10-21,52.5,中性,0.0,2.3026,2.1539,-0.0,0.001172368787807605,0.0,-0.0,8.595634920634921e-05,0.0010864124386012557,-8.595634920634921e-05,-0.0010864124386012557,-0.0,1.2200000000000057,-1.2200000000000057,19.050000000000036,63.20999999999999,-44.15999999999993,-0.002281277777777774,0.01628267130889137,0.06923287301587301,0.05494562847417798,1.0139191062649047,1.1313154096126585,0.8962302622679309
2024-10-28,2024-10-28,40.0,中性,0.0,2.315,2.1617,-0.0,-0.0006095610811391482,0.0,-0.0,8.547222222222222e-05,-0.0006950333033613705,-8.547222222222222e-05,0.0006950333033613705,-0.0,-0.7800000000000168,0.7800000000000168,19.050000000000036,62.42999999999997,-43.37999999999992,-0.002281277777777774,0.01628267130889137,0.06931834523809523,0.05425059517081661,1.0139191062649047,1.1306258037684656,0.8967769025661999
2024-10-29,2024-10-28,40.0,中性,0.0,2.3129,2.1598,0.0,0.000255015922288589,0.0,0.0,8.578174603174603e-05,0.00016923417625684298,-8.578174603174603e-05,-0.00016923417625684298,0.0,0.19000000000001654,-0.19000000000001654,19.050000000000036,62.61999999999999,-43.569999999999936,-0.002281277777777774,0.01628267130889137,0.06940412698412697,0.05441982934707345,1.0139191062649047,1.1309141313505768,0.8965482684826366
2024-10-30,2024-10-28,40.0,中性,0.0,2.3128,2.1597,0.0,9.461429306751416e-05,0.0,0.0,8.57063492063492e-05,8.907943861164961e-06,-8.57063492063492e-05,-8.907943861164961e-06,0.0,0.010000000000981446,-0.010000000000981446,19.050000000000036,62.63000000000097,-43.580000000000915,-0.002281277777777774,0.01628267130889137,0.06948983333333332,0.054428737290934615,1.0139191062649047,1.1310211319916348,0.8964634502270323
2024-10-31,2024-10-28,40.0,中性,0.0,2.3124,2.1476,0.0,0.0011635692051212901,0.0,0.0,8.570238095238056e-05,0.0010778668241689096,-8.570238095238056e-05,-0.0010778668241689096,0.0,1.2099999999990243,-1.2099999999990243,19.050000000000036,63.839999999999996,-44.78999999999994,-0.002281277777777774,0.01628267130889137,0.0695755357142857,0.055506604115103525,1.0139191062649047,1.1323371533511617,0.8954215652680849
2024-11-01,2024-10-28,40.0,中性,0.0,2.304,2.1406,0.0,0.0007091749220515364,0.0,0.0,8.522222222222222e-05,0.0006239526998293142,-8.522222222222222e-05,-0.0006239526998293142,0.0,0.6999999999999715,-0.6999999999999715,19.050000000000036,64.53999999999996,-45.48999999999992,-0.002281277777777774,0.01628267130889137,0.06966075793650792,0.05613055681493284,1.0139191062649047,1.1331401784636257,0.8947870047637287
2024-11-04,2024-11-04,65.0,中性,0.0,2.287,2.1275,0.0,0.0012530535584206843,0.0,0.0,8.494444444444446e-05,0.0011681091139762398,-8.494444444444446e-05,-0.0011681091139762398,0.0,1.3100000000000265,-1.3100000000000265,19.050000000000036,65.85,-46.79999999999994,-0.002281277777777774,0.01628267130889137,0.06974570238095236,0.05729866592890908,1.0139191062649047,1.134560063796439,0.8936671919088635
2024-11-05,2024-11-04,65.0,中性,0.0,2.2678,2.1106,0.0,0.0015924043050568745,0.0,0.0,8.442460317460316e-05,0.0015079797018822713,-8.442460317460316e-05,-0.0015079797018822713,0.0,1.6899999999999902,-1.6899999999999902,19.050000000000036,67.53999999999998,-48.48999999999993,-0.002281277777777774,0.01628267130889137,0.06983012698412697,0.058806645630791354,1.0139191062649047,1.136366742126374,0.8922463749402374
2024-11-06,2024-11-04,65.0,中性,0.0,2.2715,2.1234,-0.0,-0.0010593918618042415,0.0,-0.0,8.375396825396825e-05,-0.0011431458300582098,-8.375396825396825e-05,0.0011431458300582098,-0.0,-1.2799999999999965,1.2799999999999965,19.050000000000036,66.25999999999998,-47.20999999999994,-0.002281277777777774,0.01628267130889137,0.06991388095238094,0.057663499800733146,1.0139191062649047,1.1351628844477402,0.8931926159285758
2024-11-07,2024-11-04,65.0,中性,0.0,2.265,2.1115,0.0,0.001146320858735921,0.0,0.0,8.426190476190476e-05,0.0010620589539740164,-8.426190476190476e-05,-0.0010620589539740164,0.0,1.1900000000000106,-1.1900000000000106,19.050000000000036,67.44999999999999,-48.39999999999995,-0.002281277777777774,0.01628267130889137,0.06999814285714284,0.05872555875470716,1.0139191062649047,1.1364641453402453,0.8921699029592773
2024-11-08,2024-11-04,65.0,中性,0.0,2.266,2.1067,0.0,0.0005124492390527018,0.0,-0.0,8.378968253968254e-05,0.0004286595565130192,-8.378968253968254e-05,-0.0004286595565130192,-0.0,0.4799999999999943,-0.4799999999999943,19.050000000000036,67.92999999999998,-48.879999999999946,-0.002281277777777774,0.01628267130889137,0.07008193253968252,0.05915421831122018,1.0139191062649047,1.1370465255267357,0.8917129453389848
2024-11-11,2024-11-11,75.0,看多,1.0,2.2546,2.092,0.0010998289385376204,0.0013966979336695446,8.992063492063491e-05,0.0010099083036169854,8.359920634920634e-05,0.0013130987273203382,6.321428571428572e-06,-0.00030319042370335284,1.1399999999999952,1.4699999999999782,-0.329999999999983,20.190000000000033,69.39999999999996,-49.20999999999993,-0.002191357142857139,0.017292579612508355,0.07016553174603173,0.060467317038540525,1.015034243839311,1.1386346360594248,0.891448592633833
2024-11-12,2024-11-11,75.0,看多,1.0,2.246,2.0729,0.0008517805177450507,0.0017904604295510094,8.946825396825397e-05,0.0007623122637767968,8.301587301587302e-05,0.0017074445565351364,6.452380952380954e-06,-0.0009451322927583396,0.8599999999999928,1.910000000000002,-1.0500000000000091,21.050000000000026,71.30999999999996,-50.25999999999994,-0.002101888888888885,0.018054891876285152,0.0702485476190476,0.062174761595075664,1.0158988302330574,1.1406733163190055,0.8906133033000194
2024-11-13,2024-11-11,75.0,看多,1.0,2.254,2.0876,-0.0006203178688110525,-0.0012331597904897747,8.912698412698413e-05,-0.0007094448529380367,8.225793650793652e-05,-0.0013154177269977113,6.869047619047612e-06,0.0006059728740596747,-0.800000000000002,-1.4699999999999782,0.6699999999999762,20.250000000000025,69.83999999999997,-49.58999999999997,-0.002012761904761901,0.017345447023347116,0.07033080555555554,0.06085934386807795,1.0152686500357597,1.1392666838512362,0.891159782364295
2024-11-14,2024-11-11,75.0,看多,1.0,2.2548,2.0808,1.8529463617756122e-05,0.0006908669358383228,8.944444444444444e-05,-7.091498082668832e-05,8.284126984126984e-05,0.000608025665997053,6.6031746031746015e-06,-0.0006789406468237413,-0.07999999999997592,0.6799999999999862,-0.759999999999962,20.170000000000048,70.51999999999997,-50.34999999999993,-0.0019233174603174564,0.017274532042520427,0.07041364682539682,0.06146736953407501,1.0152874624192727,1.1400537655342111,0.8905610359030086
2024-11-15,2024-11-11,75.0,看多,1.0,2.253,2.0948,0.00024902826107744177,-0.0011696906388068118,8.947619047619047e-05,0.0001595520706012513,8.257142857142857e-05,-0.0012522620673782404,6.904761904761897e-06,0.0014118141379794917,0.17999999999997185,-1.4000000000000123,1.579999999999984,20.35000000000002,69.11999999999996,-48.769999999999946,-0.001833841269841266,0.017434084113121678,0.07049621825396825,0.06021510746669677,1.0155402976905328,1.1387202553169293,0.8918259712591895
2024-11-18,2024-11-18,75.0,看多,1.0,2.275,2.1117,-0.0018608586051353376,-0.0014274277701744444,8.940476190476191e-05,-0.0019502633670400995,8.312698412698413e-05,-0.0015105547543014285,6.277777777777778e-06,-0.000439708612738671,-2.1999999999999797,-1.6899999999999902,-0.5099999999999896,18.15000000000004,67.42999999999998,-49.27999999999994,-0.001744436507936504,0.015483820746081577,0.07057934523809524,0.05870455271239534,1.0136505207887136,1.1370948144020299,0.8914388738302069
2024-11-19,2024-11-18,75.0,看多,1.0,2.27,2.0947,0.000533012889704209,0.0016019510395039978,9.027777777777777e-05,0.00044273511192643127,8.379761904761904e-05,0.0015181534204563789,6.480158730158729e-06,-0.0010754183085299475,0.4999999999999796,1.7000000000000002,-1.2000000000000206,18.65000000000002,69.12999999999998,-50.47999999999996,-0.0016541587301587262,0.015926555858008007,0.07066314285714285,0.06022270613285172,1.0141908095819496,1.1389163846219759,0.8904875048562721
