signal_date,周期起始,周期结束,信号产生日期,信号适用开始日期,信号适用结束日期,供给信息截至日期,银行需求取数日期,利差取数日期,非银情绪取数日期,总分_raw,总分,供给模块_利空,需求模块_利空,估值模块_利空,情绪模块_利空,利空模块数,供给或需求利空,供给_发行量_得分,供给_发行量_定性,供给_发行量_原始数据,供给_发行量_二级数据,供给_发行占比_得分,供给_发行占比_定性,供给_发行占比_原始数据,供给_发行占比_二级数据,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_10Y以上发行_原始数据,供给_10Y以上发行_二级数据,供给_发飞惩罚_得分,供给_发飞惩罚_定性,供给_发飞惩罚_原始数据,供给_发飞惩罚_二级数据,银行需求_得分,银行需求_定性,银行需求_原始数据,银行需求_二级数据,利差_地方债国债_得分,利差_地方债国债_定性,利差_地方债国债_原始数据,利差_地方债国债_二级数据,利差_周度变化_得分,利差_周度变化_定性,利差_周度变化_原始数据,利差_周度变化_二级数据,利差_地方债NCD_得分,利差_地方债NCD_定性,利差_地方债NCD_原始数据,利差_地方债NCD_二级数据,非银情绪_得分,非银情绪_定性,非银情绪_原始数据,非银情绪_二级数据,结论,仓位
2022-01-27,2022-01-27,2022-01-27,2022-01-26,2022-01-27,2022-01-27,2022-01-26,2022-01-26,2022-01-26,2022-01-26,60.0,60.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,中性,1452.4122,53.97260273972603,0.0,利空,1.0,100.0,0.0,利空,883.0695999999998,76.43835616438356,0.0,中性,未知,,5.0,利多,23.93,100.0,0.0,中性,31.38000000000001,26.666666666666668,0.0,利空,1.9699999999999849,,5.0,利多,58.84,86.66666666666667,50.0,利多,0.4201669999999999,,中性,0.0
2022-01-28,2022-01-28,2022-01-28,2022-01-27,2022-01-28,2022-01-28,2022-01-27,2022-01-27,2022-01-27,2022-01-27,77.5,77.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性,567.6800000000001,28.767123287671232,0.0,利空,1.0,100.0,7.5,中性,424.8999999999997,58.35616438356165,0.0,中性,未知,,5.0,利多,9.96,83.33333333333334,0.0,利空,29.25,0.0,10.0,利多,-1.5899999999999783,,5.0,利多,58.35,81.25,50.0,利多,0.4338329999999999,,看多,1.0
2022-02-07,2022-02-07,2022-02-07,2022-02-06,2022-02-07,2022-02-07,2022-02-06,2022-01-29,2022-01-30,2022-01-28,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性,738.2147,33.97260273972603,15.0,利多,0.2695970845529385,22.76657060518732,7.5,中性,450.7800999999998,60.54794520547945,0.0,中性,未知,,2.5,中性,11.619999999999996,78.57142857142857,0.0,中性,31.28000000000002,31.57894736842105,0.0,利空,1.8200000000000216,,5.0,利多,60.25,94.73684210526316,50.0,利多,0.3472719999999999,,看多,1.0
2022-02-08,2022-02-08,2022-02-08,2022-02-07,2022-02-08,2022-02-08,2022-02-07,2022-02-07,2022-02-07,2022-02-07,87.5,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性,738.2147,33.97260273972603,15.0,利多,0.2695970845529385,22.988505747126435,7.5,中性,450.7800999999998,60.54794520547945,0.0,中性,未知,,2.5,中性,8.889999999999999,60.0,0.0,利空,29.04,0.0,10.0,利多,-2.3400000000000105,,2.5,中性,56.1,45.0,50.0,利多,0.2069039999999999,,看多,1.0
2022-02-09,2022-02-09,2022-02-09,2022-02-08,2022-02-09,2022-02-09,2022-02-08,2022-02-07,2022-02-08,2022-02-08,82.5,82.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,利多,401.4585,19.726027397260275,15.0,利多,0.1671727827068423,9.455587392550145,7.5,中性,231.0959999999998,39.72602739726028,0.0,中性,未知,,2.5,中性,8.889999999999999,60.0,0.0,利空,29.389999999999983,9.523809523809524,5.0,中性,0.1399999999999828,,2.5,中性,56.659999999999975,52.38095238095239,50.0,利多,0.2229459999999999,,看多,1.0
2022-02-10,2022-02-10,2022-02-10,2022-02-09,2022-02-10,2022-02-10,2022-02-09,2022-02-09,2022-02-09,2022-02-09,87.5,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,利多,401.4585,19.726027397260275,15.0,利多,0.1671727827068423,9.714285714285714,7.5,中性,231.0959999999998,39.72602739726028,0.0,中性,未知,,2.5,中性,7.549999999999998,56.25,0.0,利空,27.719999999999967,0.0,10.0,利多,-3.5800000000000054,,2.5,中性,56.99999999999999,59.09090909090909,50.0,利多,0.2673279999999999,,看多,1.0
2022-02-11,2022-02-11,2022-02-11,2022-02-10,2022-02-11,2022-02-11,2022-02-10,2022-02-10,2022-02-10,2022-02-10,100.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,利多,0.0,7.945205479452055,15.0,利多,0.0,4.273504273504273,15.0,利多,0.0,15.068493150684931,0.0,中性,未知,,5.0,利多,12.61,82.35294117647058,0.0,利空,29.139999999999983,8.695652173913043,10.0,利多,-2.1400000000000325,,5.0,利多,58.92,82.6086956521739,50.0,利多,0.821866,,看多,1.0
2022-02-14,2022-02-14,2022-02-14,2022-02-13,2022-02-14,2022-02-14,2022-02-13,2022-02-11,2022-02-11,2022-02-11,87.5,87.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,利多,537.3735,24.10958904109589,15.0,利多,0.2117833657520265,18.413597733711047,7.5,中性,331.5269999999998,53.15068493150685,0.0,中性,未知,,5.0,利多,15.03,88.88888888888889,0.0,中性,30.57000000000003,33.33333333333333,5.0,中性,-0.7099999999999902,,5.0,利多,63.98000000000002,100.0,50.0,利多,0.8884639999999999,,看多,1.0
2022-02-15,2022-02-15,2022-02-15,2022-02-14,2022-02-15,2022-02-15,2022-02-14,2022-02-14,2022-02-14,2022-02-14,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性,1061.5773,42.465753424657535,7.5,中性,0.3467419555273026,28.04532577903683,7.5,中性,571.9049999999997,63.83561643835617,0.0,中性,未知,,5.0,利多,21.34,94.73684210526316,0.0,利空,28.549999999999983,4.0,5.0,中性,-0.4900000000000126,,5.0,利多,63.22999999999999,96.0,50.0,利多,0.949511,,看多,1.0
2022-02-16,2022-02-16,2022-02-16,2022-02-15,2022-02-16,2022-02-16,2022-02-15,2022-02-15,2022-02-15,2022-02-15,72.5,72.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,中性,2051.8723,70.13698630136986,7.5,中性,0.5064010284825607,46.742209631728045,0.0,利空,1172.2445,84.38356164383562,0.0,中性,未知,,5.0,利多,20.73,90.0,0.0,中性,29.959999999999987,30.76923076923077,5.0,中性,0.5700000000000038,,5.0,利多,62.63999999999999,92.3076923076923,50.0,利多,0.8450380000000001,,看多,1.0
