区间,起始日期,结束日期,累计资本利得_BP,年化资本利得_BP,条件基准资本利得_BP,资本利得超额_BP,年化资本利得超额_BP,已平仓胜率,已平仓交易数,平均单笔_BP,平均亏损_BP,资本利得最大回撤_BP,平均持有交易日
搜索期,2022-01-17,2025-01-01,62.24999999999998,21.909217877094964,27.539999999999022,34.71000000000096,12.216368715084137,1.0,12,5.187499999999999,,-4.4800000000000395,9.416666666666666
样本外,2025-01-02,2026-07-20,7.879999999998063,5.33806451612772,-0.9000000000009369,8.779999999999,5.947741935483194,0.7272727272727273,11,0.7163636363634602,-3.1433333333333313,-7.339999999999986,6.545454545454546
2026年以来,2026-01-01,2026-07-20,4.160000000000031,8.126511627907037,-0.11000000000000554,4.270000000000037,8.341395348837281,0.75,4,1.040000000000008,-0.09999999999999609,-2.7199999999999793,4.5
全区间,2022-01-17,2026-07-20,70.12999999999805,16.22842975206566,26.63999999999809,43.48999999999996,10.063801652892554,0.8695652173913043,23,3.0491304347825237,-3.1433333333333313,-8.039999999999992,8.043478260869565
