日期,信号日期,总分,结论,仓位,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2025-01-13,2025-01-13,27.5,看空,-1.0,0.0015272916619029002,-0.0015272916619029002,-7.107142857142856e-05,0.0015983630904743288,7.107142857142856e-05,-0.0015983630904743288,-0.00014214285714285712,0.0031967261809486575,15.983630904743288,-15.983630904743288,31.967261809486576,15.983630904743288,-15.983630904743288,31.967261809486576,-7.107142857142856e-05,0.0015983630904743288,7.107142857142856e-05,-0.0015983630904743288,1.001527291661903,0.9984727083380971,1.0030592556995273
2025-01-14,2025-01-13,27.5,看空,-1.0,0.0010533079160398322,-0.0010533079160398322,-7.176984126984128e-05,0.0011250777573096735,7.176984126984128e-05,-0.0011250777573096735,-0.00014353968253968255,0.002250155514619347,11.250777573096734,-11.250777573096734,22.501555146193468,27.23440847784002,-27.23440847784002,54.46881695568004,-0.00014284126984126982,0.0027234408477840024,0.00014284126984126982,-0.0027234408477840024,1.0025822082863403,0.9974210091304548,1.0051745442582816
2025-01-15,2025-01-13,27.5,看空,-1.0,-9.946379242872587e-05,9.946379242872587e-05,-7.226190476190476e-05,-2.7201887666821106e-05,7.226190476190476e-05,2.7201887666821106e-05,-0.00014452380952380953,-5.440377533364221e-05,-0.27201887666821106,0.27201887666821106,-0.5440377533364221,26.962389601171807,-26.962389601171807,53.924779202343615,-0.0002151031746031746,0.002696238960117181,0.0002151031746031746,-0.002696238960117181,1.0024824876576826,0.9975202164066711,1.00497460720033
2025-01-16,2025-01-13,27.5,看空,-1.0,-9.945231655019865e-05,9.945231655019865e-05,-7.225000000000001e-05,-2.720231655019864e-05,7.225000000000001e-05,2.720231655019864e-05,-0.00014450000000000002,-5.440463310039728e-05,-0.2720231655019864,0.2720231655019864,-0.5440463310039728,26.69036643566982,-26.69036643566982,53.38073287133964,-0.0002873531746031746,0.0026690366435669823,0.0002873531746031746,-0.0026690366435669823,1.002382788451984,0.9976194221029985,1.0047747329727645
2025-01-17,2025-01-13,27.5,看空,-1.0,-3.5967767980053625e-05,3.5967767980053625e-05,-7.223809523809524e-05,3.627032725804161e-05,7.223809523809524e-05,-3.627032725804161e-05,-0.00014447619047619047,7.254065451608322e-05,0.3627032725804161,-0.3627032725804161,0.7254065451608323,27.053069708250234,-27.053069708250234,54.10613941650047,-0.0003595912698412698,0.002705306970825024,0.0003595912698412698,-0.002705306970825024,1.0023467349804218,0.997655304246905,1.0047024565634504
2025-01-20,2025-01-20,20.0,看空,-1.0,5.46895084898892e-05,-5.46895084898892e-05,-7.225396825396824e-05,0.00012694347674385744,7.225396825396824e-05,-0.00012694347674385744,-0.00014450793650793648,0.0002538869534877149,1.2694347674385744,-1.2694347674385744,2.538869534877149,28.32250447568881,-28.32250447568881,56.64500895137762,-0.00043184523809523806,0.0028322504475688814,0.00043184523809523806,-0.0028322504475688814,1.0024015528306942,0.9976007429686734,1.004812355940849
2025-01-21,2025-01-20,20.0,看空,-1.0,-0.0009064481389553685,0.0009064481389553685,-7.23095238095238e-05,-0.0008341386151458446,7.23095238095238e-05,0.0008341386151458446,-0.0001446190476190476,-0.0016682772302916893,-8.341386151458446,8.341386151458446,-16.68277230291689,19.981118324230366,-19.981118324230366,39.96223664846073,-0.0005041547619047619,0.0019981118324230366,0.0005041547619047619,-0.0019981118324230366,1.0014929278086449,0.9985050163055579,1.002992385069974
2025-01-22,2025-01-20,20.0,看空,-1.0,0.0014066463752538945,-0.0014066463752538945,-7.194444444444445e-05,0.0014785908196983388,7.194444444444445e-05,-0.0014785908196983388,-0.0001438888888888889,0.0029571816393966777,14.785908196983389,-14.785908196983389,29.571816393966778,34.76702652121375,-34.76702652121375,69.5340530424275,-0.0005760992063492063,0.0034767026521213755,0.0005760992063492063,-0.0034767026521213755,1.0029016742053891,0.9971004728436988,1.0058180710166003
2025-01-23,2025-01-20,20.0,看空,-1.0,-0.00064358181261204,0.00064358181261204,-7.259126984126984e-05,-0.0005709905427707701,7.259126984126984e-05,0.0005709905427707701,-0.00014518253968253967,-0.0011419810855415402,-5.709905427707701,5.709905427707701,-11.419810855415403,29.057121093506048,-29.057121093506048,58.114242187012096,-0.0006486904761904762,0.0029057121093506054,0.0006486904761904762,-0.0029057121093506054,1.0022562249280325,0.9977421885733679,1.0045242512608583
2025-01-24,2025-01-20,20.0,看空,-1.0,-0.000126739327239453,0.000126739327239453,-7.234126984126984e-05,-5.439805739818315e-05,7.234126984126984e-05,5.439805739818315e-05,-0.0001446825396825397,-0.0001087961147963663,-0.5439805739818314,0.5439805739818314,-1.0879611479636628,28.513140519524217,-28.513140519524217,57.026281039048435,-0.000721031746031746,0.002851314051952422,0.000721031746031746,-0.002851314051952422,1.0021291996483634,0.9978686417471062,1.0042696580722266
