signal_date,总分_raw,总分,仓位,结论,情绪|非银情绪_得分,情绪|非银情绪_乘数,情绪|非银情绪变化_得分,情绪|非银情绪变化_乘数,supply_observed_at,bank_observed_at,valuation_observed_at,sentiment_observed_at,supply_amount_raw,supply_ratio_raw,supply_long_raw,bank_demand_raw,spread_gov_raw,nonbank_sentiment_raw,spread_ncd_raw,spread_change_raw,supply_amount_change_raw,bank_demand_change_raw,nonbank_sentiment_change_raw,spread_ncd_change_raw,spread_change_acceleration_raw
2022-10-18,100.0,100.0,1.0,看多,0.0,1.0,100.0,1.0,2022-10-17,2022-10-17,2022-10-17,2022-10-17,1229.3303,0.2598056571398415,535.9837999999995,-14.48,23.139999999999983,0.0272419999999999,93.16,1.1999999999999993,-613.6664999999998,6.030000000000001,0.018932,0.039999999999992,0.5100000000000087
2022-10-19,100.0,100.0,1.0,看多,0.0,1.0,100.0,1.0,2022-10-18,2022-10-18,2022-10-18,2022-10-18,1622.6842,0.3166161055461292,1091.674499999999,-10.8,22.75999999999998,0.0925089999999999,92.28,0.7899999999999814,393.35389999999984,3.68,0.0652669999999999,-0.8799999999999955,-0.4100000000000179
2022-10-20,100.0,100.0,1.0,看多,0.0,1.0,100.0,1.0,2022-10-19,2022-10-19,2022-10-19,2022-10-19,2080.7867,0.578963383476071,1406.514499999999,-1.7099999999999982,22.44000000000001,0.2232419999999999,92.96000000000002,0.3699999999999797,458.1025000000002,9.090000000000003,0.130733,0.680000000000021,-0.4200000000000017
2022-10-21,0.0,0.0,0.0,看空,0.0,1.0,0.0,0.0,2022-10-20,2022-10-20,2022-10-20,2022-10-20,1934.609,0.5611125790320748,1254.9655,1.9400000000000013,21.68000000000001,0.1903419999999999,92.43,-0.9099999999999646,-146.1777000000002,3.65,-0.0329,-0.5300000000000153,-1.2799999999999443
2022-10-24,0.0,0.0,0.0,看空,0.0,1.0,0.0,0.0,2022-10-23,2022-10-21,2022-10-21,2022-10-21,2825.4851,0.6507957427806721,1833.658799999999,12.410000000000002,20.070000000000032,0.1280009999999999,89.85000000000002,-3.279999999999948,890.8761,10.47,-0.062341,-2.579999999999984,-2.3699999999999832
2022-10-25,100.0,100.0,1.0,看多,0.0,1.0,100.0,1.0,2022-10-24,2022-10-24,2022-10-24,2022-10-24,3642.1708,0.8478306191145224,2382.721199999999,-2.969999999999999,21.099999999999987,0.1305369999999999,88.87999999999998,-2.039999999999996,816.6857,-15.38,0.002536,-0.9700000000000416,1.2399999999999518
2022-10-26,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-10-25,2022-10-25,2022-10-25,2022-10-25,2883.461,0.8151907702250473,1690.792199999999,-3.6999999999999993,21.07000000000001,-0.237985,88.85000000000001,-1.6899999999999693,-758.7098000000001,-0.7300000000000004,-0.3685219999999999,-0.0299999999999727,0.3500000000000267
2022-10-27,0.0,0.0,0.0,看空,0.0,0.0,0.0,0.0,2022-10-26,2022-10-26,2022-10-26,2022-10-26,2535.7928,0.5584717484465903,1337.5867,-12.169999999999998,22.98,-0.3044690000000001,90.23000000000005,0.5399999999999849,-347.6681999999996,-8.469999999999999,-0.0664840000000001,1.380000000000038,2.2299999999999542
2022-10-28,100.0,100.0,1.0,看多,0.0,0.0,100.0,1.0,2022-10-27,2022-10-27,2022-10-27,2022-10-27,2208.3728,0.5241590850486832,1131.575699999999,-17.32,23.159999999999982,-0.2613400000000001,90.68999999999998,1.479999999999972,-327.4200000000001,-5.150000000000002,0.043129,0.4599999999999369,0.9399999999999872
2022-10-31,100.0,100.0,1.0,看多,0.0,0.0,100.0,1.0,2022-10-30,2022-10-28,2022-10-28,2022-10-28,1405.5355,0.389708219752176,583.6658999999996,-27.18,25.22000000000002,-0.2424760000000001,90.75,5.149999999999988,-802.8373000000001,-9.86,0.0188639999999999,0.0600000000000164,3.670000000000016
