区间,起始日期,结束日期,累计资本利得_BP,年化资本利得_BP,条件基准资本利得_BP,资本利得超额_BP,年化资本利得超额_BP,已平仓胜率,已平仓交易数,平均单笔_BP,平均亏损_BP,资本利得最大回撤_BP,平均持有交易日
搜索期,2022-01-17,2025-06-30,82.78000000000195,25.042689075630843,42.05999999999904,40.720000000002905,12.318655462185752,0.9090909090909091,22,3.7854545454546344,-1.8899999999999995,-4.969999999999004,6.826086956521739
样本外,2025-07-01,2026-07-14,-1.1000000000019683,-1.104382470121498,-6.319999999999034,5.219999999997066,5.2407968127460585,0.4,10,-0.11000000000019679,-1.236666666666834,-8.400000000000976,4.4
2026年以来,2026-01-01,2026-07-14,-4.089999999999997,-8.245439999999995,-7.869999999999024,3.779999999999027,7.620479999998038,0.3333333333333333,6,-0.6816666666666662,-1.6075000000000033,-4.9099999999990125,4.666666666666667
全区间,2022-01-17,2026-07-14,81.43,18.912774193548387,36.10000000000002,45.329999999999984,10.528258064516125,0.75,32,2.5446875,-1.4000000000001251,-8.400000000000986,6.28125
