信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给|发行量_得分,供给|发行占比_得分,供给|10Y以上发行_得分,需求|银行总净买入_得分,估值|地方债-国债利差_得分,估值|地方债-国债利差变化_得分,估值|地方债-NCD利差_得分,情绪|非银情绪_得分
2022-01-17,2022-01-24,1.0,看多,0.007412058736873117,0.0070126317541745475,0.0003994269826985697,0.0004888095238094,0.0069083671533042,8.139999999999988,7.600000000000003,0.5399999999999849,是,有效进攻,是,否,有效进攻,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2022-01-24,2022-02-14,1.0,看多,-0.0012864064907309736,-0.005783418324990075,0.0044970118342591014,0.0011969404761901,-0.002462853510596685,-2.880000000000001,-7.91,5.029999999999999,否,其他,否,是,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2022-02-14,2022-02-21,1.0,看多,-0.0013263015373859988,-0.00017404841880164224,-0.0011522531185843565,0.0006120436507934,-0.0019379203525156,-2.2799999999999905,-0.8400000000000077,-1.4399999999999826,否,该空没空,否,是,该空没空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2022-02-21,2022-02-28,1.0,看多,-0.0034855394672941298,0.0024866563633691996,-0.005972195830663329,0.0006189841269839,-0.004106948317533234,-4.839999999999983,2.2499999999999956,-7.0899999999999785,否,其他,是,是,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2022-02-28,2022-03-07,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-07,2022-03-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-14,2022-03-21,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,2022-03-28,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-28,2022-04-04,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-04,2022-04-11,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-11,2022-04-18,1.0,看多,0.0012560089962778687,0.00012307475701356374,0.001132934239264305,0.0006159126984125001,0.0006481736023328,0.7700000000000071,-0.49000000000097554,1.2600000000009826,是,其他,是,否,有效进攻,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2022-04-18,2022-04-25,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-04-25,2022-05-02,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-02,2022-05-09,1.0,看多,0.004993285124373248,0.0011970067571169807,0.003796278367256267,0.00024751984126970003,0.0047395496360628005,5.5899999999999705,1.13000000000002,4.45999999999995,是,有效进攻,是,否,有效进攻,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2022-05-09,2022-05-16,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-05-16,2022-05-23,1.0,看多,0.00410455923321984,0.0026174281298421143,0.0014871311033777257,0.0006080198412695,0.0034915313207945003,4.110000000000988,2.399999999999972,1.710000000001016,是,有效进攻,是,否,有效进攻,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2022-05-23,2022-05-30,1.0,看多,0.0018429326905999854,0.008568410524212533,-0.006725477833612548,0.0006037936507932999,0.0012407914623750003,1.4599999999989972,9.259999999999998,-7.800000000001001,是,有效进攻,是,否,有效进攻,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2022-05-30,2022-06-06,1.0,看多,-0.0010429175367514532,-0.004984245158317191,0.003941327621565738,0.0004826825396824,-0.0015245105792590999,-1.7899999999999863,-6.269999999999991,4.480000000000004,否,其他,否,是,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2022-06-06,2022-06-13,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-13,2022-06-20,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-20,2022-06-27,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-06-27,2022-07-04,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-07-04,2022-07-11,1.0,看多,0.00018593339721117985,-0.0005501213749092848,0.0007360547721204647,0.0006203928571425,-0.0004277889560164998,-0.49999999999997957,-1.2900000000000058,0.7900000000000262,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
2022-07-11,2022-07-18,1.0,看多,0.005059888744474383,0.005105852485374207,-4.596374089982369e-05,0.0006150079365076,0.0044360105039126995,5.229999999999959,5.269999999999997,-0.04000000000003823,是,有效进攻,是,否,有效进攻,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0
