信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,估值|地方债-国债利差_得分,估值|地方债-国债利差变化_得分,估值|地方债-NCD利差_得分,估值|地方债-NCD利差变化_得分,估值|地方债-国债利差变化加速度_得分
2022-01-13,2022-01-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,0.0,20.0,5.0
2022-01-14,2022-01-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,40.0,2.5,0.0,20.0,0.0
2022-01-17,2022-01-18,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,0.0,20.0,10.0
2022-01-18,2022-01-19,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,2.5,0.0,10.0
2022-01-19,2022-01-20,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,2.5,20.0,5.0
2022-01-20,2022-01-21,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,5.0,0.0,5.0
2022-01-21,2022-01-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,5.0,40.0,5.0
2022-01-24,2022-01-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,2.5,40.0,5.0
2022-01-25,2022-01-26,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,2.5,5.0,0.0,0.0
2022-01-26,2022-01-27,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,5.0,40.0,10.0
2022-01-27,2022-01-28,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,2.5,5.0,0.0,0.0
2022-01-28,2022-02-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,5.0,20.0,10.0
2022-02-07,2022-02-08,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,2.5,5.0,20.0,0.0
2022-02-08,2022-02-09,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,2.5,40.0,10.0
2022-02-09,2022-02-10,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,2.5,20.0,0.0
2022-02-10,2022-02-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,2.5,20.0,10.0
2022-02-11,2022-02-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,5.0,20.0,5.0
2022-02-14,2022-02-15,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,2.5,5.0,0.0,5.0
2022-02-15,2022-02-16,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,5.0,20.0,5.0
2022-02-16,2022-02-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,2.5,5.0,20.0,5.0
2022-02-17,2022-02-18,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,0.0,5.0,20.0,0.0
2022-02-18,2022-02-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,2.5,5.0,20.0,10.0
2022-02-21,2022-02-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,5.0,5.0,40.0,10.0
2022-02-22,2022-02-23,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,5.0,20.0,5.0
2022-02-23,2022-02-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,2.5,5.0,20.0,5.0
2022-02-24,2022-02-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,2.5,5.0,20.0,5.0
2022-02-25,2022-02-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,0.0,2.5,20.0,5.0
2022-02-28,2022-03-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,40.0,0.0,2.5,20.0,0.0
2022-03-01,2022-03-02,1.0,看多,0.000929201575309957,-0.0022628544392233607,0.0031920560145333177,0.00012498015873015875,0.0008042214165797642,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,其他,否,否,其他,40.0,0.0,5.0,20.0,5.0
2022-03-02,2022-03-03,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,0.0,2.5,20.0,10.0
2022-03-03,2022-03-04,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,2.5,5.0,20.0,5.0
2022-03-04,2022-03-07,1.0,看多,0.00012517063492056835,0.0016181221647115773,-0.001492951529791009,0.00012517063492063492,0.0,0.0,1.7499999999999807,-1.7499999999999807,否,其他,是,否,有效进攻,20.0,2.5,2.5,40.0,5.0
2022-03-07,2022-03-08,1.0,看多,0.0004129270147794628,0.00010299473132269199,0.0003099322834567708,0.00012517063492063492,0.0002877563798588543,0.3399999999999931,-0.010000000000010001,0.3500000000000031,是,其他,是,否,有效进攻,20.0,5.0,2.5,40.0,5.0
2022-03-08,2022-03-09,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,40.0,2.5,0.0,20.0,5.0
2022-03-09,2022-03-10,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,2.5,0.0,20.0,5.0
2022-03-10,2022-03-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,5.0,0.0,20.0,5.0
2022-03-11,2022-03-14,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,20.0,2.5,0.0,20.0,5.0
2022-03-14,2022-03-15,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,40.0,0.0,0.0,20.0,0.0
