模块,最佳候选,建议,最佳目标函数,最佳累计收益率,最佳超额收益率,最佳累计资本利得_BP,最佳资本利得超额_BP,最佳资本利得交易胜率,相对原始阈值改善,目标函数敏感区间,收益率敏感区间,资本利得敏感区间_BP
地方债国债利差阈值,15/85,采用候选阈值,109.91025000000089,0.12965240698207525,0.029235611781196713,89.84499999999949,26.405000000000015,1.0,0.010000000000005116,25.449071428571926,0.007017793748103518,5.995000000000516
供给分位阈值,25/75,保留原始阈值,109.90025000000088,0.12857653713578432,0.030214712707537172,88.59499999999949,27.365000000000002,1.0,0.0,23.022321428572226,0.00661369809208634,5.03499999999849
利差周变化阈值,±1.5BP,采用候选阈值,110.26500000000065,0.12859554045764066,0.03181568974291071,88.349999999999,29.01999999999952,1.0,0.3647499999997734,16.794115384614997,0.002691178882700207,3.010000000001071
银行需求分位阈值,25/75,保留原始阈值,109.90025000000088,0.12857653713578432,0.030214712707537172,88.59499999999949,27.365000000000002,1.0,0.0,8.479083333333335,0.0018764218635174412,1.549999999999983
地方债NCD利差阈值,35/65,采用候选阈值,110.49050000000089,0.1324776133935459,0.02943178713355432,92.63999999999952,26.490000000000038,1.0,0.5902500000000117,8.29658333333336,0.003901076257761593,4.04500000000003
