日期,信号日期,总分,结论,仓位,条件基准仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2022-03-04,2022-03-04,45.0,中性,0.0,0.0,3.1543,2.8125,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.9700000000010336,-5.749999999999956,3.779999999998922,0.0008476388888888881,-0.00169757070209405,0.0007620833333333334,-0.004981868139717907,0.9991338337281127,0.9957671357808342,1.0033810093005715
2022-03-07,2022-03-07,50.0,中性,0.0,0.0,3.1509,2.8126,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,-1.9700000000010336,-5.749999999999956,3.779999999998922,0.0008476388888888881,-0.00169757070209405,0.0007620833333333334,-0.004981868139717907,0.9991338337281127,0.9957671357808342,1.0033810093005715
2022-03-08,2022-03-08,37.5,中性,0.0,0.0,3.1541,2.8276,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-1.9700000000010336,-5.749999999999956,3.779999999998922,0.0008476388888888881,-0.00169757070209405,0.0007620833333333334,-0.004981868139717907,0.9991338337281127,0.9957671357808342,1.0033810093005715
2022-03-09,2022-03-09,27.5,看空,0.0,0.0,3.1547,2.8426,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-1.9700000000010336,-5.749999999999956,3.779999999998922,0.0008476388888888881,-0.00169757070209405,0.0007620833333333334,-0.004981868139717907,0.9991338337281127,0.9957671357808342,1.0033810093005715
2022-03-10,2022-03-10,40.0,中性,0.0,0.0,3.1648,2.8502,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-1.9700000000010336,-5.749999999999956,3.779999999998922,0.0008476388888888881,-0.00169757070209405,0.0007620833333333334,-0.004981868139717907,0.9991338337281127,0.9957671357808342,1.0033810093005715
2022-03-11,2022-03-11,22.5,看空,0.0,0.0,3.1753,2.7902,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.9700000000010336,-5.749999999999956,3.779999999998922,0.0008476388888888881,-0.00169757070209405,0.0007620833333333334,-0.004981868139717907,0.9991338337281127,0.9957671357808342,1.0033810093005715
2022-03-14,2022-03-14,25.0,看空,0.0,0.0,3.1365,2.7677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9700000000010336,-5.749999999999956,3.779999999998922,0.0008476388888888881,-0.00169757070209405,0.0007620833333333334,-0.004981868139717907,0.9991338337281127,0.9957671357808342,1.0033810093005715
2022-03-15,2022-03-15,37.5,中性,0.0,0.0,3.1461,2.8177,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-1.9700000000010336,-5.749999999999956,3.779999999998922,0.0008476388888888881,-0.00169757070209405,0.0007620833333333334,-0.004981868139717907,0.9991338337281127,0.9957671357808342,1.0033810093005715
2022-03-16,2022-03-16,37.5,中性,0.0,0.0,3.1648,2.7952,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-1.9700000000010336,-5.749999999999956,3.779999999998922,0.0008476388888888881,-0.00169757070209405,0.0007620833333333334,-0.004981868139717907,0.9991338337281127,0.9957671357808342,1.0033810093005715
2022-03-17,2022-03-17,20.0,看空,0.0,0.0,3.147,2.7876,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.9700000000010336,-5.749999999999956,3.779999999998922,0.0008476388888888881,-0.00169757070209405,0.0007620833333333334,-0.004981868139717907,0.9991338337281127,0.9957671357808342,1.0033810093005715
