信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给|发行量_得分,供给|发行占比_得分,供给|10Y以上发行_得分,需求|银行总净买入_得分,估值|地方债-国债利差_得分,估值|地方债-国债利差变化_得分,估值|地方债-NCD利差_得分,供给|发行量变化_得分,需求|银行总净买入变化_得分,估值|地方债-NCD利差变化_得分,估值|地方债-国债利差变化加速度_得分,供需交互|供给×银行承接_得分,供需交互|供给×非银承接_得分
2022-02-17,2022-02-18,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0
2022-02-18,2022-02-21,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-02-21,2022-02-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0
2022-02-22,2022-02-23,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0
2022-02-23,2022-02-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,22.5,0.0,2.5,0.0,0.0
2022-02-24,2022-02-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,22.5,0.0,2.5,0.0,0.0
2022-02-25,2022-02-28,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,22.5,0.0,2.5,0.0,0.0
2022-02-28,2022-03-01,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-01,2022-03-02,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,45.0,0.0,2.5,0.0,0.0
2022-03-02,2022-03-03,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,22.5,0.0,5.0,0.0,0.0
2022-03-03,2022-03-04,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,22.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0
2022-03-04,2022-03-07,1.0,看多,0.00012517063492056835,0.0016181221647115773,-0.001492951529791009,0.0001251706349206,0.0,0.0,1.749999999999981,-1.749999999999981,否,其他,是,否,有效进攻,0.0,0.0,2.5,0.0,0.0,22.5,0.0,0.0,45.0,0.0,2.5,0.0,0.0
2022-03-07,2022-03-08,1.0,看多,0.0004129270147794628,0.00010299473132269199,0.0003099322834567708,0.0001251706349206,0.0002877563798588,0.3399999999999931,-0.01000000000001,0.3500000000000031,是,其他,是,否,有效进攻,0.0,0.0,2.5,0.0,0.0,45.0,0.0,0.0,45.0,0.0,2.5,0.0,0.0
2022-03-08,2022-03-09,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0
2022-03-09,2022-03-10,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0
2022-03-10,2022-03-11,1.0,看多,-0.00072960182616566,-0.0005407326853906769,-0.00018886914077498318,0.0001251865079365,-0.0008547883341022,-1.0100000000000386,-0.7599999999999968,-0.25000000000004186,否,该空没空,否,是,该空没空,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,22.5,0.0,2.5,0.0,0.0
2022-03-11,2022-03-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0
2022-03-14,2022-03-15,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0
2022-03-15,2022-03-16,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,22.5,0.0,0.0,22.5,0.0,5.0,0.0,0.0
2022-03-16,2022-03-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,22.5,0.0,0.0,22.5,0.0,2.5,0.0,0.0
2022-03-17,2022-03-18,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0
2022-03-18,2022-03-21,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-21,2022-03-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,22.5,0.0,5.0,0.0,0.0
2022-03-22,2022-03-23,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,22.5,0.0,2.5,0.0,0.0
2022-03-23,2022-03-24,1.0,看多,0.000641599465882825,0.00011230952380958392,0.0005292899420732411,0.0001256428571428,0.00051595660874,0.6099999999990141,0.0,0.6099999999990141,是,其他,是,否,有效进攻,0.0,0.0,2.5,0.0,0.0,22.5,0.0,0.0,45.0,0.0,2.5,0.0,0.0
2022-03-24,2022-03-25,1.0,看多,0.0009968763708809725,0.0022634597277730872,-0.0012665833568921148,0.0001254007936507,0.0008714755772302,1.0299999999999891,2.500000000000002,-1.470000000000013,是,有效进攻,是,否,有效进攻,0.0,0.0,2.5,0.0,0.0,45.0,0.0,0.0,45.0,0.0,5.0,0.0,0.0
2022-03-25,2022-03-28,1.0,看多,0.0008276168994953981,0.0008005683380938322,2.7048561401565863e-05,0.000124992063492,0.0007026248360035,0.8299999999999974,0.800000000000002,0.029999999999995364,是,有效进攻,是,否,有效进攻,0.0,0.0,0.0,0.0,0.0,45.0,0.0,0.0,22.5,0.0,2.5,0.0,0.0
2022-03-28,2022-03-29,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,22.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2022-03-29,2022-03-30,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0
2022-03-30,2022-03-31,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0
2022-03-31,2022-04-01,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,2.5,0.0,0.0,0.0,0.0,0.0,22.5,0.0,2.5,0.0,0.0
2022-04-01,2022-04-02,1.0,看多,0.0011240793241376057,0.0012747763792380074,-0.00015069705510040166,0.000124369047619,0.0009997102765186,1.1800000000000006,1.349999999999997,-0.16999999999999638,是,有效进攻,是,否,有效进攻,0.0,0.0,5.0,0.0,0.0,22.5,0.0,0.0,45.0,0.0,5.0,0.0,0.0
2022-04-06,2022-04-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,0.0,22.5,0.0,0.0,22.5,0.0,5.0,0.0,0.0
2022-04-07,2022-04-08,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,0.0,22.5,0.0,0.0,22.5,0.0,2.5,0.0,0.0
2022-04-08,2022-04-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,0.0,22.5,0.0,0.0,0.0,0.0,2.5,0.0,0.0
2022-04-11,2022-04-12,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,5.0,0.0,0.0,22.5,0.0,0.0,22.5,0.0,2.5,0.0,0.0
2022-04-12,2022-04-13,1.0,看多,-0.0007778455044111787,-0.0001059611110505454,-0.0006718843933606333,0.0001224325396825,-0.0009002780440938,-1.0600000000000191,-0.2500000000010133,-0.8099999999990058,否,该空没空,否,是,该空没空,0.0,0.0,5.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,5.0,0.0,0.0
2022-04-13,2022-04-14,1.0,看多,-0.0027802501459400775,0.0007486335614979023,-0.0035288837074379797,0.0001228531746031,-0.0029031033205432,-3.4200000000000204,0.7400000000000115,-4.160000000000032,否,其他,是,是,其他,0.0,0.0,5.0,0.0,0.0,45.0,0.0,0.0,45.0,0.0,2.5,0.0,0.0
2022-04-14,2022-04-15,1.0,看多,0.0023528315399639066,-0.00010620984302400771,0.0024590413829879143,0.0001242103174603,0.0022286212225036,2.6300000000000283,-0.2500000000000071,2.8800000000000354,是,其他,否,否,其他,0.0,0.0,5.0,0.0,0.0,45.0,0.0,0.0,22.5,0.0,2.5,0.0,0.0
2022-04-15,2022-04-18,1.0,看多,0.0005983374769273908,0.0007831324124303318,-0.00018479493550294102,0.0001231666666666,0.0004751708102607,0.5600000000000049,0.7800000000000168,-0.22000000000001185,是,有效进攻,是,否,有效进攻,0.0,0.0,5.0,0.0,0.0,45.0,0.0,0.0,22.5,0.0,2.5,0.0,0.0
