training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
2,115.49999999999994,61.94999999999999,30.35999999999997,12.98999999999804,15.999999999997996
3,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
4,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
5,115.49999999999994,61.94999999999999,30.35999999999997,9.649999999997057,16.849999999996005
6,115.49999999999994,61.94999999999999,30.35999999999997,13.03999999999705,19.719999999995963
7,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
8,115.49999999999994,61.94999999999999,30.35999999999997,18.38999999999709,17.129999999997015
9,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
10,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
11,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
12,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
13,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
14,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
15,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
16,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
17,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
18,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
19,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
20,115.49999999999994,61.94999999999999,30.35999999999997,11.64999999999708,13.109999999997017
