交易编号,开仓日期,平仓日期,估值日期,方向,开仓仓位,平均绝对仓位,持有交易日,策略资本利得_BP,同期条件基准资本利得_BP,资本利得超额_BP,是否盈利,是否已平仓,状态
44,2023-05-31,2023-06-01,2023-06-01,多头,1.0,1.0,2,2.1399999999989827,1.7499999999999807,0.38999999999900203,是,是,已平仓
45,2023-06-06,2023-06-12,2023-06-12,多头,1.0,1.0,5,0.4099999999999937,2.2199999999999998,-1.810000000000006,是,是,已平仓
46,2023-06-19,2023-06-19,2023-06-19,空头,-1.0,1.0,1,1.2900000000010126,0.0,1.2900000000010126,是,是,已平仓
47,2023-06-26,2023-06-30,2023-06-30,空头,-1.0,1.0,5,-2.7299999999999898,0.0,-2.7299999999999898,否,是,已平仓
48,2023-07-05,2023-07-19,2023-07-19,多头,1.0,1.0,11,1.149999999998999,2.4400000000000115,-1.2900000000010126,是,是,已平仓
49,2023-07-26,2023-07-26,2023-07-26,多头,1.0,1.0,1,1.460000000000003,1.9999999999990163,-0.5399999999990133,是,是,已平仓
50,2023-07-27,2023-07-28,2023-07-28,空头,-1.0,1.0,2,-0.5600000000000049,0.0,-0.5600000000000049,否,是,已平仓
51,2023-08-02,2023-08-02,2023-08-02,空头,-1.0,1.0,1,1.0599999999999845,0.0,1.0599999999999845,是,是,已平仓
52,2023-08-03,2023-08-14,2023-08-14,多头,1.0,1.0,8,1.6700000000009765,3.130000000000008,-1.4599999999990314,是,是,已平仓
53,2023-08-23,2023-08-24,2023-08-24,多头,1.0,1.0,2,4.119999999999992,0.21000000000000185,3.9099999999999904,是,是,已平仓
54,2023-08-28,2023-08-29,2023-08-29,多头,1.0,1.0,2,-0.5099999999999896,0.020000000000991447,-0.530000000000981,否,是,已平仓
55,2023-09-04,2023-09-04,2023-09-04,多头,1.0,1.0,1,-1.7599999999999907,-2.7400000000010056,0.980000000001015,否,是,已平仓
56,2023-09-12,2023-09-13,2023-09-13,空头,-1.0,1.0,2,-0.4100000000009998,0.0,-0.4100000000009998,否,是,已平仓
57,2023-09-15,2023-09-15,2023-09-15,空头,-1.0,1.0,1,-0.18999999999998185,0.0,-0.18999999999998185,否,是,已平仓
58,2023-09-19,2023-09-25,2023-09-25,多头,1.0,1.0,5,-3.82000000000101,-4.760000000000007,0.9399999999989967,否,是,已平仓
59,2023-10-10,2023-10-10,2023-10-10,多头,1.0,1.0,1,-1.6799999999990087,-1.0899999999990084,-0.5900000000000003,否,是,已平仓
60,2023-10-16,2023-10-16,2023-10-16,空头,-1.0,1.0,1,1.7199999999990139,0.0,1.7199999999990139,是,是,已平仓
61,2023-10-19,2023-10-19,2023-10-19,空头,-1.0,1.0,1,0.8599999999999928,0.0,0.8599999999999928,是,是,已平仓
62,2023-10-25,2023-11-01,2023-11-01,空头,-1.0,1.0,6,2.049999999998997,0.0,2.049999999998997,是,是,已平仓
63,2023-11-07,2023-11-07,2023-11-07,空头,-1.0,1.0,1,-0.9800000000009801,0.0,-0.9800000000009801,否,是,已平仓
64,2023-11-08,2023-11-29,2023-11-29,多头,1.0,1.0,16,-0.2800000000010092,-1.9399999999999982,1.659999999998989,否,是,已平仓
65,2023-12-04,2023-12-05,2023-12-05,空头,-1.0,1.0,2,-2.3999999999999715,0.0,-2.3999999999999715,否,是,已平仓
66,2023-12-08,2024-01-05,2024-01-05,多头,1.0,1.0,20,15.530000000000022,14.65000000000001,0.8800000000000132,是,是,已平仓
