信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给|发行量_得分,供给|发行占比_得分,供给|10Y以上发行_得分,需求|银行总净买入_得分,估值|地方债-国债利差_得分,估值|地方债-NCD利差_得分,估值|地方债-NCD利差变化_得分
2022-07-18,2022-07-25,1.0,看多,0.0038561560914573967,0.0004341595109980112,0.0034219965804593855,0.0006069285714285711,0.003246464318543598,3.8200000000000034,-0.129999999999991,3.9499999999999944,是,其他,是,否,有效进攻,5.0,15.0,30.0,5.0,0.0,20.0,0.0
2022-07-25,2022-08-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,7.5,30.0,0.0,0.0,20.0,0.0
2022-08-01,2022-08-08,1.0,看多,0.003933547962432504,0.0024484977186796097,0.0014850502437528945,0.0005932539682539671,0.0033354656114997785,3.90999999999999,2.2099999999990185,1.7000000000009714,是,有效进攻,是,否,有效进攻,2.5,15.0,30.0,5.0,0.0,20.0,0.0
2022-08-08,2022-08-15,1.0,看多,-0.0005819064260731421,0.0004733312748237406,-0.0010552377008968827,0.0005903730158730158,-0.0011709329277841774,-1.369999999999011,-0.08000000000001067,-1.2899999999990002,否,该空没空,是,是,其他,5.0,15.0,30.0,5.0,0.0,20.0,0.0
2022-08-15,2022-08-22,1.0,看多,0.00685915281880578,0.013340138420251835,-0.006480985601446054,0.0005847539682539678,0.006257357666696496,7.319999999998994,14.720000000000011,-7.400000000001017,是,有效进攻,是,否,有效进攻,2.5,7.5,30.0,10.0,0.0,20.0,0.0
2022-08-22,2022-08-29,1.0,看多,-0.0018917629024619576,-0.004308214306544822,0.0024164514040828644,0.0005771666666666663,-0.0024678750072833293,-2.8799999999989945,-5.55,2.6700000000010053,否,其他,否,是,其他,2.5,15.0,30.0,0.0,10.0,20.0,0.0
2022-08-29,2022-09-05,1.0,看多,0.003428050939035421,0.0022911871359452274,0.0011368638030901934,0.0005796031746031742,0.002848410082649861,3.33,2.039999999999993,1.2900000000000071,是,有效进攻,是,否,有效进攻,5.0,15.0,30.0,5.0,10.0,20.0,0.0
2022-09-05,2022-09-12,1.0,看多,0.00024670350629674154,-0.0005591143336954874,0.0008058178399922289,0.0005752103174603171,-0.00032673789474020273,-0.37999999999999834,-1.2399999999999909,0.8599999999999925,否,其他,否,否,其他,5.0,15.0,30.0,5.0,10.0,20.0,0.0
2022-09-12,2022-09-19,1.0,看多,3.5600527816370686e-05,-0.002877635576420401,0.0029132361042367716,0.00046159126984126947,-0.0004221448747883452,-0.4900000000010103,-3.8000000000000185,3.3099999999990084,否,其他,否,否,其他,5.0,15.0,30.0,5.0,10.0,20.0,0.0
2022-09-19,2022-09-26,1.0,看多,-0.001056949899621129,-0.00010481765345049521,-0.0009521322461706339,0.0005792777777777774,-0.0016360453500281525,-1.9099999999989958,-0.7199999999999913,-1.1899999999990045,否,该空没空,否,是,该空没空,2.5,15.0,30.0,10.0,0.0,20.0,0.0
