区间,起始日期,结束日期,累计资本利得_BP,年化资本利得_BP,条件基准资本利得_BP,资本利得超额_BP,年化资本利得超额_BP,已平仓胜率,已平仓交易数,平均单笔_BP,平均亏损_BP,资本利得最大回撤_BP,平均持有交易日
搜索期,2022-01-12,2025-01-01,44.48999999999294,15.593157162723534,-59.23999999999607,103.72999999998902,36.355994436713814,0.5614035087719298,57,0.7805263157893498,-1.8295652173916528,-10.760000000001012,3.192982456140351
样本外,2025-01-02,2026-07-17,12.65000000000002,8.592452830188693,-18.990000000001885,31.640000000001905,21.491320754718274,0.5757575757575758,33,0.3833333333333339,-1.19,-7.620000000000994,2.8484848484848486
2026年以来,2026-01-01,2026-07-17,6.479999999999993,12.757499999999986,-7.100000000001932,13.580000000001926,26.73562500000379,0.5,14,0.46285714285714236,-1.3500000000000019,-6.849999999999981,3.7857142857142856
全区间,2022-01-12,2026-07-17,57.139999999992966,13.19824014665282,-78.22999999999796,135.3699999999909,31.267864344635843,0.5666666666666667,90,0.6348888888888107,-1.5986111111113341,-10.760000000001012,3.066666666666667
