training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
2,95.93750000000293,81.81000000000195,20.510000000003892,-4.06000000000295,8.879999999996045
3,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
4,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
5,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
6,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
7,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
8,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
9,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
10,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
11,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
12,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
13,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
14,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
15,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
16,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
17,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
18,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
19,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
20,95.93750000000293,81.81000000000195,20.510000000003892,-4.170000000002956,8.749999999996053
