日期,基煜纯债基金净申购情况_日度原始值
2024-10-11,0.210947
2024-10-14,0.720942
2024-10-15,0.299691
2024-10-16,0.106232
2024-10-17,0.067916
2024-10-18,0.017271
2024-10-21,-0.051999
2024-10-22,-0.065039
2024-10-23,-0.268624
2024-10-24,-0.01533
2024-10-25,-0.029192
2024-10-28,-0.058609
2024-10-29,-0.005344
2024-10-30,-0.081216
2024-10-31,-0.020934
2024-11-01,0.014088
2024-11-04,-0.01432
2024-11-05,0.021931
2024-11-06,0.005582
2024-11-07,0.036457
2024-11-08,0.030541
2024-11-11,0.007584
2024-11-12,0.034926
2024-11-13,-0.003539
2024-11-14,0.191376
2024-11-15,0.086367
2024-11-18,5.9e-05
2024-11-19,-0.00729
2024-11-20,0.065075
2024-11-21,0.178943
2024-11-22,0.043841
2024-11-25,0.157646
2024-11-26,0.222623
2024-11-27,0.088139
2024-11-28,0.097757
2024-11-29,0.06155
2024-12-02,0.13107
2024-12-03,0.091938
2024-12-04,0.15465
2024-12-05,0.224488
2024-12-06,0.020736
2024-12-09,0.171956
2024-12-10,0.11768
2024-12-11,-0.122669
2024-12-12,-0.038622
2024-12-13,0.038895
2024-12-16,0.007246
2024-12-17,0.095615
2024-12-18,-0.190449
2024-12-19,-0.038675
2024-12-20,0.026028
2024-12-23,0.132215
2024-12-24,0.090716
2024-12-25,0.116049
2024-12-26,0.189261
2024-12-27,0.103666
2024-12-30,0.143866
2024-12-31,0.025945
2025-01-02,-0.081881
2025-01-03,-0.107181
2025-01-06,-0.068312
2025-01-07,-0.007979
2025-01-08,-0.075721
2025-01-09,-0.011722
2025-01-10,-0.126838
2025-01-13,-0.044547
2025-01-14,-0.01681
2025-01-15,0.015996
2025-01-16,-0.185233
2025-01-17,0.011777
2025-01-20,-0.095348
2025-01-21,-0.100854
2025-01-22,0.042596
2025-01-23,0.001293
2025-01-24,0.000217
2025-01-27,0.008868
2025-02-05,0.007301
2025-02-06,0.193866
2025-02-07,0.160774
2025-02-10,-0.097391
2025-02-11,0.061071
2025-02-12,0.095819
2025-02-13,0.023022
2025-02-14,-0.037856
2025-02-17,-0.067688
2025-02-18,-0.20967
2025-02-19,-0.010489
2025-02-20,-0.024228
2025-02-21,-0.151567
2025-02-24,-0.261616
2025-02-25,-0.077816
2025-02-26,0.021156
2025-02-27,0.123412
2025-02-28,0.038095
2025-03-03,0.013187
2025-03-04,0.050889
2025-03-05,-0.010098
2025-03-06,-0.041888
2025-03-07,-0.214395
2025-03-10,-0.152056
2025-03-11,-0.122476
2025-03-12,-0.084209
2025-03-13,0.068657
2025-03-14,0.033218
2025-03-17,-0.057381
2025-03-18,-0.038836
2025-03-19,0.025689
2025-03-20,0.281776
2025-03-21,0.126848
2025-03-24,-0.10709
2025-03-25,0.07742
2025-03-26,0.032081
2025-03-27,0.016403
2025-03-28,0.089508
2025-03-31,0.008836
2025-04-01,0.011382
2025-04-02,0.115209
2025-04-03,0.332563
2025-04-07,0.521675
2025-04-08,-0.029574
2025-04-09,-0.023885
2025-04-10,-0.000667
2025-04-11,0.04457
2025-04-14,-0.004664
2025-04-15,-0.012723
2025-04-16,0.109999
2025-04-17,-0.073989
2025-04-18,-0.017194
2025-04-21,0.0543
2025-04-22,0.043511
2025-04-23,-0.130299
2025-04-24,-0.041744
2025-04-25,0.131661
2025-04-28,0.06345
2025-04-29,0.226361
2025-04-30,0.003592
2025-05-06,0.010372
2025-05-07,-0.036077
2025-05-08,0.173707
2025-05-09,0.026813
2025-05-12,-0.019706
2025-05-13,0.02974
2025-05-14,-0.030707
2025-05-15,-0.012478
2025-05-16,-0.087492
2025-05-19,-0.146448
2025-05-20,0.116187
2025-05-21,0.052365
2025-05-22,0.125263
2025-05-23,0.150537
2025-05-26,0.076101
2025-05-27,0.185015
2025-05-28,-0.001431
2025-05-29,0.088656
2025-05-30,0.064506
2025-06-03,-0.264578
2025-06-04,-0.100207
2025-06-05,0.027716
2025-06-06,0.111608
2025-06-09,0.041319
2025-06-10,0.036061
2025-06-11,0.004382
2025-06-12,0.056271
2025-06-13,0.052926
2025-06-16,0.044499
2025-06-17,0.057646
2025-06-18,0.125906
2025-06-19,0.186836
2025-06-20,-0.026119
2025-06-23,0.068382
2025-06-24,-0.062461
2025-06-25,-0.168307
2025-06-26,0.049419
2025-06-27,0.217699
2025-06-30,-0.010107
2025-07-01,0.025392
2025-07-02,0.165622
2025-07-03,0.202742
2025-07-04,0.042477
2025-07-07,0.261635
2025-07-08,0.14764
2025-07-09,-0.025613
2025-07-10,-0.017704
2025-07-11,-0.131444
2025-07-14,-0.121516
2025-07-15,0.014908
2025-07-16,0.028567
2025-07-17,0.007433
2025-07-18,0.018482
2025-07-21,-0.143032
2025-07-22,-0.13317
2025-07-23,-0.627141
2025-07-24,-1.0
2025-07-25,-0.3437
2025-07-28,0.016007
2025-07-29,-0.077667
2025-07-30,-0.088806
2025-07-31,0.241966
2025-08-01,0.052725
2025-08-04,0.015289
2025-08-05,-0.096201
2025-08-06,0.030262
2025-08-07,0.022475
2025-08-08,0.027037
2025-08-11,-0.190423
2025-08-12,-0.136407
2025-08-13,-0.095963
2025-08-14,-0.091995
2025-08-15,-0.049453
2025-08-18,-0.509804
2025-08-19,-0.115159
2025-08-20,-0.044805
2025-08-21,-0.329456
2025-08-22,-0.055619
2025-08-25,-0.046022
2025-08-26,-0.033476
2025-08-27,0.111456
2025-08-28,0.0088
2025-08-29,-0.004517
2025-09-01,-0.05192
2025-09-02,-0.004055
2025-09-03,-0.001448
2025-09-04,0.10674
2025-09-05,-0.048962
2025-09-08,-0.180724
2025-09-09,0.061807
2025-09-10,-0.178739
2025-09-11,-0.236029
2025-09-12,-0.109808
2025-09-15,0.057357
2025-09-16,-0.087001
2025-09-17,-0.044294
2025-09-18,0.084668
2025-09-19,-0.005518
2025-09-22,-0.043607
2025-09-23,-0.075563
2025-09-24,-0.057517
2025-09-25,-0.070169
2025-09-26,-0.076293
2025-09-29,0.184313
2025-09-30,-0.003356
2025-10-09,-0.146976
2025-10-10,-0.085727
2025-10-13,-0.16724
2025-10-14,-0.108638
2025-10-15,-0.029154
2025-10-16,0.031611
2025-10-17,0.009368
2025-10-20,0.000481
2025-10-21,0.006986
2025-10-22,-0.088842
2025-10-23,0.031273
2025-10-24,0.08407
2025-10-27,-0.032851
2025-10-28,0.12101
2025-10-29,-0.012183
2025-10-30,0.214842
2025-10-31,0.152114
2025-11-03,-0.078167
2025-11-04,-0.026376
2025-11-05,0.11226
2025-11-06,0.037826
2025-11-07,0.134534
2025-11-10,-0.044663
2025-11-11,0.082027
2025-11-12,-0.096721
2025-11-13,0.015007
2025-11-14,0.03334
2025-11-17,-0.016445
2025-11-18,-0.006727
2025-11-19,0.019736
2025-11-20,0.005576
2025-11-21,-0.005813
2025-11-24,-0.046011
2025-11-25,-0.090142
2025-11-26,-0.074891
2025-11-27,-0.107361
2025-11-28,0.00691
2025-12-01,-0.019959
2025-12-02,-0.069488
2025-12-03,-0.060383
2025-12-04,-0.075049
2025-12-05,-0.238192
2025-12-08,-0.205698
2025-12-09,-0.108847
2025-12-10,-0.119927
2025-12-11,-0.1639
2025-12-12,0.006845
2025-12-15,-0.225021
2025-12-16,-0.062167
2025-12-17,-0.014242
2025-12-18,0.009592
2025-12-19,-0.018943
2025-12-22,-0.12966
2025-12-23,0.00336
2025-12-24,0.051604
2025-12-25,0.036752
2025-12-26,0.191368
2025-12-29,0.153485
2025-12-30,0.05624
2025-12-31,0.001507
2026-01-05,-0.419552
2026-01-06,-0.159536
2026-01-07,-0.111298
2026-01-08,0.055824
2026-01-09,0.024321
2026-01-12,-0.031797
2026-01-13,-0.055054
2026-01-14,-0.010111
2026-01-15,0.019705
2026-01-16,-0.012694
2026-01-19,-0.033868
2026-01-20,0.012821
2026-01-21,0.019658
2026-01-22,0.097685
2026-01-23,-0.010925
2026-01-26,-0.048609
2026-01-27,-0.012407
2026-01-28,-0.033696
2026-01-29,0.089344
2026-01-30,0.049862
2026-02-02,0.02923
2026-02-03,0.011661
2026-02-04,-0.086744
2026-02-05,0.060628
2026-02-06,0.176937
2026-02-09,0.065423
2026-02-10,0.179604
2026-02-11,0.240658
2026-02-12,0.10212
2026-02-13,0.02383
2026-02-24,0.037688
2026-02-25,-0.02382
2026-02-26,-0.043481
2026-02-27,0.025127
2026-03-02,-0.021199
2026-03-03,0.061661
2026-03-04,0.014818
2026-03-05,0.075896
2026-03-06,0.046972
2026-03-09,-0.014292
2026-03-10,0.025088
2026-03-11,0.013977
2026-03-12,-0.033267
2026-03-13,0.06033
2026-03-16,-0.013402
2026-03-17,-0.062798
2026-03-18,0.120701
2026-03-19,0.061016
2026-03-20,0.017766
2026-03-23,-0.077826
2026-03-24,0.004552
2026-03-25,0.146734
2026-03-26,0.145017
2026-03-27,0.152731
2026-03-30,0.361029
2026-03-31,0.035473
2026-04-01,-0.017897
2026-04-02,0.370682
2026-04-03,0.774635
2026-04-07,0.243468
2026-04-08,0.189326
2026-04-09,0.234333
2026-04-10,0.205077
2026-04-13,0.11613
2026-04-14,0.451468
2026-04-15,0.028431
2026-04-16,0.185319
2026-04-17,0.193537
2026-04-20,0.190167
2026-04-21,0.177948
2026-04-22,0.154799
2026-04-23,0.13443
2026-04-24,0.100923
2026-04-27,-0.041693
2026-04-28,0.264314
2026-04-29,0.345183
2026-04-30,0.080593
2026-05-06,-0.189515
2026-05-07,-0.001783
2026-05-08,0.050812
2026-05-11,0.218008
2026-05-12,0.033499
2026-05-13,0.203954
2026-05-14,0.20357
2026-05-15,0.235879
2026-05-18,0.14937
2026-05-19,0.10984
2026-05-20,0.397227
2026-05-21,0.362132
2026-05-22,0.070488
2026-05-25,0.165918
2026-05-26,0.094938
2026-05-27,0.142055
2026-05-28,0.279428
2026-05-29,0.281436
2026-06-01,0.185279
2026-06-02,0.272434
2026-06-03,0.252858
2026-06-04,0.184131
2026-06-05,0.228906
2026-06-08,0.046025
2026-06-09,-0.164039
2026-06-10,-0.591685
2026-06-12,-0.272539
2026-06-15,-0.092265
2026-06-16,0.095466
2026-06-17,0.512038
2026-06-18,0.162293
2026-06-22,0.183044
2026-06-23,-0.100612
2026-06-24,-0.009279
2026-06-25,0.390141
2026-06-26,0.304533
2026-06-29,0.226514
2026-06-30,0.054137
2026-07-01,-0.17308
2026-07-02,-0.113732
2026-07-03,-0.007212
2026-07-06,-0.12735
2026-07-07,-0.177775
2026-07-08,0.109899
2026-07-09,-0.015671
