信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给_发行量_得分,供给_发行量_定性,供给_发行占比_得分,供给_发行占比_定性,供给_10Y以上发行_得分,供给_10Y以上发行_定性,供给_发飞惩罚_得分,供给_发飞惩罚_定性,银行需求_得分,银行需求_定性,利差_地方债国债_得分,利差_地方债国债_定性,利差_周度变化_得分,利差_周度变化_定性,利差_地方债NCD_得分,利差_地方债NCD_定性,非银情绪_得分,非银情绪_定性
2022-06-13,2022-06-20,-1.0,看空,-0.000247188694428746,0.0,-0.000247188694428746,-0.0006121587301587302,0.0003656252918385277,0.4299999999990074,0.0,0.4299999999990074,是,其他,否,是,做空做反,0.0,利空,0.0,利空,0.0,利空,0.0,中性,0.0,利空,2.5,中性,0.0,利空,0.0,中性,0.0,利空
2022-06-20,2022-06-27,-1.0,看空,-0.00043484791805248335,0.0,-0.00043484791805248335,-0.0006131349206349203,0.00017851045815472878,0.2100000000000019,0.0,0.2100000000000019,是,其他,否,是,做空做反,0.0,利空,2.5,中性,0.0,利空,0.0,中性,5.0,中性,2.5,中性,12.5,中性,0.0,利多,0.0,利空
2022-06-27,2022-07-04,-1.0,看空,0.0023116628059256517,0.0,0.0023116628059256517,-0.000616742063492063,0.0029292956072434137,3.4500000000009865,0.0,3.4500000000009865,是,其他,否,否,其他,0.0,利空,0.0,利空,0.0,利空,0.0,中性,5.0,中性,2.5,中性,12.5,中性,0.0,利多,0.0,利空
2022-07-04,2022-07-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,中性,2.5,中性,10.0,中性,0.0,中性,0.0,利空,0.0,利空,25.0,利多,0.0,利多,25.0,利多
2022-07-11,2022-07-18,1.0,看多,0.0050598887444748275,0.005105852485374429,-4.5963740899601646e-05,0.0006150079365079365,0.004436010503912853,5.229999999999958,5.269999999999997,-0.040000000000039115,是,有效进攻,是,否,有效进攻,5.0,中性,5.0,利多,20.0,利多,0.0,中性,10.0,利多,0.0,利空,25.0,利多,0.0,利多,25.0,利多
2022-07-18,2022-07-25,1.0,看多,0.0038561560914573967,0.0004341595109980112,0.0034219965804593855,0.0006069285714285711,0.003246464318543598,3.8200000000000034,-0.129999999999991,3.9499999999999944,是,其他,是,否,有效进攻,5.0,中性,5.0,利多,20.0,利多,0.0,中性,5.0,中性,0.0,利空,12.5,中性,0.0,利多,25.0,利多
2022-07-25,2022-08-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,中性,2.5,中性,10.0,中性,0.0,中性,0.0,利空,0.0,利空,25.0,利多,0.0,利多,25.0,利多
2022-08-01,2022-08-08,1.0,看多,0.003933547962432504,0.0024484977186796097,0.0014850502437528945,0.0005932539682539671,0.0033354656114997785,3.90999999999999,2.2099999999990185,1.7000000000009714,是,有效进攻,是,否,有效进攻,5.0,中性,2.5,中性,20.0,利多,0.0,中性,5.0,中性,0.0,利空,12.5,中性,0.0,利多,25.0,利多
2022-08-08,2022-08-15,1.0,看多,-0.0005819064260731421,0.0004733312748237406,-0.0010552377008968827,0.0005903730158730158,-0.0011709329277841774,-1.369999999999011,-0.08000000000001067,-1.2899999999990002,否,该空没空,是,是,其他,10.0,利多,5.0,利多,20.0,利多,0.0,中性,5.0,中性,0.0,利空,12.5,中性,0.0,利多,25.0,利多
2022-08-15,2022-08-22,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,中性,2.5,中性,10.0,中性,0.0,中性,10.0,利多,0.0,利空,12.5,中性,0.0,利多,0.0,利空
2022-08-22,2022-08-29,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,中性,2.5,中性,20.0,利多,0.0,中性,0.0,利空,2.5,中性,0.0,利空,0.0,利多,25.0,利多
2022-08-29,2022-09-05,1.0,看多,0.003428050939035421,0.0022911871359452274,0.0011368638030901934,0.0005796031746031742,0.002848410082649861,3.33,2.039999999999993,1.2900000000000071,是,有效进攻,是,否,有效进攻,10.0,利多,2.5,中性,10.0,中性,0.0,中性,5.0,中性,2.5,中性,25.0,利多,0.0,利多,25.0,利多
2022-09-05,2022-09-12,1.0,看多,0.00024670350629674154,-0.0005591143336954874,0.0008058178399922289,0.0005752103174603171,-0.00032673789474020273,-0.37999999999999834,-1.2399999999999909,0.8599999999999925,否,其他,否,否,其他,10.0,利多,5.0,利多,20.0,利多,0.0,中性,5.0,中性,2.5,中性,12.5,中性,0.0,利多,25.0,利多
2022-09-12,2022-09-19,1.0,看多,3.5600527816370686e-05,-0.002877635576420401,0.0029132361042367716,0.00046159126984126947,-0.0004221448747883452,-0.4900000000010103,-3.8000000000000185,3.3099999999990084,否,其他,否,否,其他,5.0,中性,2.5,中性,10.0,中性,0.0,中性,5.0,中性,2.5,中性,25.0,利多,0.0,利多,25.0,利多
2022-09-19,2022-09-26,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,5.0,中性,2.5,中性,20.0,利多,0.0,中性,10.0,利多,0.0,利空,12.5,中性,0.0,利多,0.0,利空
