training_rank,training_objective,training_capital_gain_total_bp,training_capital_gain_excess_bp,oos_capital_gain_total_bp,oos_capital_gain_excess_bp
1,162.73203508769984,44.48999999999294,103.72999999998902,12.65000000000002,31.640000000001905
2,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
3,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
4,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
5,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
6,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
7,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
8,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
9,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
10,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
11,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
12,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
13,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
14,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
15,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
16,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
17,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
18,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
19,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
20,155.07871186439053,43.829999999993944,96.71999999999102,17.170000000001977,35.8200000000029
