日期,信号日期,总分,结论,目标仓位,仓位,止盈止损事件,条件基准仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2023-04-18,2023-04-18,52.5,中性,0.0,0.0,,0.0,2.9927,2.8319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.999999999998109,-25.66999999999889,22.67000000000078,0.005844730158730155,-0.002644232644435622,0.005324293650793646,-0.0222761010309294,1.0031584293713427,0.9831367289592529,1.0203651230010344
2023-04-19,2023-04-19,45.0,中性,0.0,0.0,,0.0,3.001,2.8333,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,-2.999999999998109,-25.66999999999889,22.67000000000078,0.005844730158730155,-0.002644232644435622,0.005324293650793646,-0.0222761010309294,1.0031584293713427,0.9831367289592529,1.0203651230010344
2023-04-20,2023-04-20,45.0,中性,0.0,0.0,,0.0,2.989,2.8332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.999999999998109,-25.66999999999889,22.67000000000078,0.005844730158730155,-0.002644232644435622,0.005324293650793646,-0.0222761010309294,1.0031584293713427,0.9831367289592529,1.0203651230010344
2023-04-21,2023-04-21,27.5,看空,0.0,0.0,,0.0,2.9823,2.8258,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.999999999998109,-25.66999999999889,22.67000000000078,0.005844730158730155,-0.002644232644435622,0.005324293650793646,-0.0222761010309294,1.0031584293713427,0.9831367289592529,1.0203651230010344
2023-04-24,2023-04-24,7.5,看空,0.0,0.0,,0.0,2.9701,2.8176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.999999999998109,-25.66999999999889,22.67000000000078,0.005844730158730155,-0.002644232644435622,0.005324293650793646,-0.0222761010309294,1.0031584293713427,0.9831367289592529,1.0203651230010344
2023-04-25,2023-04-25,12.5,看空,0.0,0.0,,0.0,2.9869,2.8157,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.999999999998109,-25.66999999999889,22.67000000000078,0.005844730158730155,-0.002644232644435622,0.005324293650793646,-0.0222761010309294,1.0031584293713427,0.9831367289592529,1.0203651230010344
2023-04-26,2023-04-26,37.5,中性,0.0,0.0,,0.0,2.99,2.8058,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.999999999998109,-25.66999999999889,22.67000000000078,0.005844730158730155,-0.002644232644435622,0.005324293650793646,-0.0222761010309294,1.0031584293713427,0.9831367289592529,1.0203651230010344
2023-04-27,2023-04-27,45.0,中性,0.0,0.0,,0.0,3.0,2.7852,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,-2.999999999998109,-25.66999999999889,22.67000000000078,0.005844730158730155,-0.002644232644435622,0.005324293650793646,-0.0222761010309294,1.0031584293713427,0.9831367289592529,1.0203651230010344
2023-04-28,2023-04-28,47.5,中性,0.0,0.0,,0.0,2.9901,2.7788,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2.999999999998109,-25.66999999999889,22.67000000000078,0.005844730158730155,-0.002644232644435622,0.005324293650793646,-0.0222761010309294,1.0031584293713427,0.9831367289592529,1.0203651230010344
2023-05-04,2023-05-04,77.5,看多,1.0,1.0,,1.0,2.9663,2.7613,0.0021498691472158376,0.0016200494294469564,0.0001186547619047619,0.0020312143853110755,0.00011026984126984128,0.0015097795881771152,8.384920634920627e-06,0.0005214347971339603,2.380000000000021,1.7500000000000155,0.6300000000000057,-0.6199999999980879,-23.919999999998875,23.300000000000786,0.005963384920634917,-0.0006130182591245464,0.005434563492063488,-0.020766321442752287,1.0053150887284177,0.9847294590560717,1.0209048581648799
