信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,供给|发行量_得分,供给|发行占比_得分,供给|10Y以上发行_得分,需求|银行总净买入_得分,估值|地方债-国债利差_得分,估值|地方债-国债利差变化_得分,估值|地方债-NCD利差_得分,供给|发行量变化_得分,需求|银行总净买入变化_得分,估值|地方债-NCD利差变化_得分,估值|地方债-国债利差变化加速度_得分,供需交互|供给×银行承接_得分,供需交互|供给×非银承接_得分
2022-02-22,2022-02-23,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-02-23,2022-02-24,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,5.0
2022-02-24,2022-02-25,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,0.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,5.0
2022-02-25,2022-02-28,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,5.0
2022-02-28,2022-03-01,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,20.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-01,2022-03-02,1.0,看多,0.000929201575309957,-0.0022628544392232497,0.0031920560145332066,0.0001249801587301,0.0008042214165797,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,其他,否,否,其他,45.0,5.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,10.0
2022-03-02,2022-03-03,1.0,看多,0.0005819604455770122,-0.0011813140365504182,0.0017632744821274304,0.0001246031746031,0.0004573572709739,0.5399999999999849,-1.4999999999999736,2.0399999999999583,是,其他,否,否,其他,45.0,2.5,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,10.0
2022-03-03,2022-03-04,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,5.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,5.0
2022-03-04,2022-03-07,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,5.0,0.0,0.0,10.0,2.5,0.0,0.0,0.0,15.0,0.0,0.0,0.0
2022-03-07,2022-03-08,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,10.0,5.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0
2022-03-08,2022-03-09,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,20.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-09,2022-03-10,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,10.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-10,2022-03-11,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,10.0,5.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-11,2022-03-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0,2.5,0.0,0.0,10.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-14,2022-03-15,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,20.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-15,2022-03-16,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,20.0,2.5,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-16,2022-03-17,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,10.0,2.5,0.0,0.0,0.0,15.0,0.0,0.0,0.0
2022-03-17,2022-03-18,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,2.5,0.0,0.0,10.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0
2022-03-18,2022-03-21,0.0,中性,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,22.5,5.0,0.0,0.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
