区间,起始日期,结束日期,累计资本利得_BP,年化资本利得_BP,条件基准资本利得_BP,资本利得超额_BP,年化资本利得超额_BP,已平仓胜率,已平仓交易数,平均单笔_BP,平均亏损_BP,资本利得最大回撤_BP,平均持有交易日
搜索期,2022-01-13,2025-01-01,68.00999999999883,23.869805013927166,13.490000000005091,54.519999999993736,19.13515320334042,0.6666666666666666,48,1.416874999999976,-1.957857142857081,-7.010000000000037,3.2708333333333335
样本外,2025-01-02,2026-07-14,23.49999999999804,16.092391304346485,14.089999999999936,9.409999999998103,6.443804347824788,0.76,25,0.9399999999999215,-1.774000000000192,-6.729999999999965,2.68
2026年以来,2026-01-01,2026-07-14,7.469999999999977,15.059519999999953,-2.5499999999990117,10.019999999998989,20.200319999997962,0.75,8,0.9337499999999971,-1.7000000000000002,-3.259999999999999,3.0
全区间,2022-01-13,2026-07-14,91.50999999999686,21.214829806807003,27.58000000000503,63.929999999991836,14.82093836246361,0.6986301369863014,73,1.2535616438355734,-1.9094736842105315,-7.010000000000037,3.0684931506849313
