信号日期,下一信号日期,仓位,结论,周期策略收益,周期基准收益,周期超额收益,周期carry贡献,周期资本利得贡献,周期策略资本利得_BP,周期基准资本利得_BP,周期资本利得超额_BP,资本利得交易是否盈利,资本利得判断类型,基准是否赚钱,策略是否亏钱,错判类型,情绪|非银情绪_得分
2022-01-13,2022-01-14,1.0,看多,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,100.0
2022-01-14,2022-01-17,1.0,看多,0.00012473015873015747,-0.0005535168393521195,0.000678246998082277,0.00012473015873015874,0.0,0.0,-0.7699999999990006,0.7699999999990006,否,其他,否,否,其他,100.0
2022-01-17,2022-01-18,1.0,看多,0.002030075363925521,0.000757413748194935,0.001272661615730586,0.00012473015873015874,0.001905345205195369,2.2500000000000298,0.7499999999990153,1.5000000000010143,是,有效进攻,是,否,有效进攻,100.0
2022-01-18,2022-01-19,1.0,看多,0.0026332952063468085,0.003948291291856698,-0.0013149960855098897,0.0001238373015873016,0.0025094579047596076,2.9599999999999764,4.45000000000001,-1.4900000000000335,是,有效进攻,是,否,有效进攻,100.0
2022-01-19,2022-01-20,1.0,看多,0.001438718256109528,0.00098181840565581,0.00045689985045371806,0.00012266269841269841,0.0013160555576967568,1.5500000000000236,1.0100000000009755,0.5399999999990481,是,有效进攻,是,否,有效进攻,100.0
2022-01-20,2022-01-21,1.0,看多,0.003945871365900411,0.00048026727828265336,0.0034656040876177574,0.00012204761904761904,0.003823823746852832,4.49999999999999,0.42999999999900756,4.070000000000983,是,有效进攻,是,否,有效进攻,100.0
2022-01-21,2022-01-24,1.0,看多,-0.0006207081512430435,0.0015874102382076316,-0.002208118389450675,0.00012026190476190477,-0.0007409700560049882,-0.8700000000000028,1.7100000000000102,-2.580000000000013,否,其他,是,是,其他,100.0
2022-01-24,2022-01-25,1.0,看多,0.0034662632464030896,0.0031291296212809794,0.0003371336251221102,0.00012060714285714286,0.003345656103545949,3.93000000000001,3.489999999999986,0.4400000000000239,是,有效进攻,是,否,有效进攻,100.0
2022-01-25,2022-01-26,1.0,看多,0.00011904761904757422,-0.0018713812579201905,0.0019904288769677647,0.00011904761904761905,0.0,0.0,-2.2799999999999905,2.2799999999999905,否,其他,否,否,其他,100.0
2022-01-26,2022-01-27,1.0,看多,0.00011904761904757422,-0.0013397012818213705,0.0014587489008689447,0.00011904761904761905,0.0,0.0,-1.6700000000000048,1.6700000000000048,否,其他,否,否,其他,100.0
2022-01-27,2022-01-28,1.0,看多,-0.0019111406561050925,-0.0016407501817587988,-0.0002703904743462937,0.00011904761904761905,-0.0020301882751526655,-2.380000000000021,-2.0199999999990017,-0.3600000000010195,否,该空没空,否,是,该空没空,100.0
2022-01-28,2022-02-07,1.0,看多,0.0010060566023295525,0.0029360353060963185,-0.001929978703766766,0.0001199920634920635,0.0008860645388375815,1.0400000000010055,3.269999999999003,-2.2299999999979976,是,有效进攻,是,否,有效进攻,100.0
2022-02-07,2022-02-08,1.0,看多,-0.001389234546219198,-0.0019281952288328075,0.0005389606826136095,0.00011957936507936469,-0.0015088139112985305,-1.7700000000000007,-2.3499999999999908,0.5799999999999901,否,其他,否,是,其他,100.0
2022-02-08,2022-02-09,1.0,看多,0.00018841518634671317,0.00035903518561286596,-0.0001706199992661528,0.00012028174603174564,6.813344031491617e-05,0.07999999999900448,0.2899999999999778,-0.2100000000009733,是,有效进攻,是,否,有效进攻,100.0
2022-02-09,2022-02-10,1.0,看多,0.0016533149487414356,-0.0007658287001727215,0.002419143648914157,0.00012025,0.0015330649487413329,1.799999999999996,-1.010000000000004,2.81,是,其他,否,否,其他,100.0
2022-02-10,2022-02-11,1.0,看多,8.543631118018702e-05,0.00010844444444435553,-2.3008133264168507e-05,0.00011953571428571429,-3.4099403105600515e-05,-0.04000000000000531,0.0,-0.04000000000000531,否,其他,是,否,有效进攻,100.0
2022-02-11,2022-02-14,1.0,看多,-0.004603119365178099,-0.004760217762742713,0.00015709839756461452,0.00011955158730158731,-0.004722670952479685,-5.539999999999989,-5.629999999999975,0.08999999999998565,否,其他,否,是,其他,100.0
2022-02-14,2022-02-15,1.0,看多,-0.0002012740665595647,-0.0009844111541446043,0.0007831370875850396,0.00012175,-0.00032302406655951613,-0.3799999999999984,-1.2700000000000211,0.8900000000000228,否,其他,否,是,其他,100.0
2022-02-15,2022-02-16,1.0,看多,-0.001203941309134815,0.0005420394585440302,-0.0017459807676788452,0.00012190079365079365,-0.0013258421027855997,-1.559999999999999,0.5000000000000143,-2.0600000000000134,否,其他,是,是,其他,100.0
2022-02-16,2022-02-17,1.0,看多,-0.0007182116836599306,0.0007660546132419732,-0.0014842662969019038,0.00012251984126984128,-0.0008407315249297628,-0.9899999999990126,0.7599999999999968,-1.7499999999990092,否,其他,是,是,其他,100.0
2022-02-17,2022-02-18,1.0,看多,2.1057202713281598e-05,0.0009125945239221167,-0.0008915373212088351,0.00012291269841269801,-0.00010185549569947853,-0.12000000000098737,0.9299999999999933,-1.0500000000009806,否,其他,是,否,有效进攻,100.0
2022-02-18,2022-02-21,1.0,看多,0.0007764931549187892,-0.0014080077017825099,0.002184500856701299,0.00012296031746031745,0.0006535328374585756,0.7700000000000068,-1.7599999999999907,2.5299999999999976,是,其他,否,否,其他,100.0
2022-02-21,2022-02-22,1.0,看多,-0.0013547387803960476,-0.0026901757816290006,0.001335437001232953,0.0001226547619047619,-0.0014773935423007896,-1.7400000000000055,-3.249999999999989,1.5099999999999834,否,其他,否,是,其他,100.0
2022-02-22,2022-02-23,1.0,看多,-0.0005298649925401522,0.0009727704886786093,-0.0015026354812187614,0.0001233452380952381,-0.000653210230635438,-0.7700000000000068,0.999999999999994,-1.770000000000001,否,其他,是,是,其他,100.0
2022-02-23,2022-02-24,1.0,看多,-0.002225288735135167,0.0026946349486647314,-0.004919923683799898,0.00012365079365079365,-0.002348939528785964,-2.7699999999999947,2.999999999999982,-5.7699999999999765,否,其他,是,是,其他,100.0
2022-02-24,2022-02-25,1.0,看多,0.00048040539526295056,0.0003262731763729043,0.00015413221889004625,0.00012475,0.00035565539526299174,0.4200000000000037,0.25000000000000716,0.16999999999999654,是,有效进攻,是,否,有效进攻,100.0
2022-02-25,2022-02-28,1.0,看多,0.00014152292225921848,0.0011885477766144792,-0.0010470248543552607,0.00012458333333333334,1.69395889258665e-05,0.020000000000020002,1.250000000000001,-1.229999999999981,是,有效进攻,是,否,有效进攻,100.0
2022-02-28,2022-03-01,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-01,2022-03-02,1.0,看多,0.000929201575309957,-0.0022628544392233607,0.0031920560145333177,0.00012498015873015875,0.0008042214165797642,0.950000000000048,-2.7500000000000093,3.7000000000000575,是,其他,否,否,其他,100.0
2022-03-02,2022-03-03,1.0,看多,0.0005819604455770122,-0.0011813140365504182,0.0017632744821274304,0.0001246031746031746,0.00045735727097390996,0.5399999999999849,-1.4999999999999736,2.0399999999999583,是,其他,否,否,其他,100.0
2022-03-03,2022-03-04,1.0,看多,-0.0015445765002328748,-0.0009644699506606846,-0.0005801065495721902,0.0001243888888888889,-0.0016689653891217523,-1.9700000000000273,-1.250000000000001,-0.7200000000000262,否,该空没空,否,是,该空没空,100.0
2022-03-04,2022-03-07,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-07,2022-03-08,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-08,2022-03-09,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-09,2022-03-10,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-10,2022-03-11,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-11,2022-03-14,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-14,2022-03-15,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-15,2022-03-16,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-16,2022-03-17,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-17,2022-03-18,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-18,2022-03-21,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-21,2022-03-22,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
2022-03-22,2022-03-23,0.0,看空,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,否,其他,否,否,其他,0.0
