日期,信号日期,总分,结论,目标仓位,仓位,止盈止损事件,条件基准仓位,交易标的到期收益率_百分比,比较基准到期收益率_百分比,策略日收益率,基准日收益率,策略票息Carry收益,策略资本利得收益,基准票息Carry收益,基准资本利得收益,票息Carry超额,资本利得超额,策略资本利得_BP,基准资本利得_BP,资本利得超额_BP,策略累计资本利得_BP,基准累计资本利得_BP,累计资本利得超额_BP,策略累计票息Carry,策略累计资本利得,基准累计票息Carry,基准累计资本利得,策略净值,基准净值,超额净值
2025-11-11,2025-11-10,62.5,中性,0.0,0.0,,0.0,1.9725,1.8119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-12,2025-11-10,62.5,中性,0.0,0.0,,0.0,1.9852,1.8071,-0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,-0.0,0.0,-0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-13,2025-11-10,62.5,中性,0.0,0.0,,0.0,1.9965,1.8126,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-14,2025-11-10,62.5,中性,0.0,0.0,,0.0,1.9961,1.814,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-17,2025-11-17,42.5,中性,0.0,0.0,,0.0,1.9829,1.8109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-18,2025-11-17,42.5,中性,0.0,0.0,,0.0,1.9834,1.8121,0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-19,2025-11-17,42.5,中性,0.0,0.0,,0.0,1.9753,1.8179,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-20,2025-11-17,42.5,中性,0.0,0.0,,0.0,1.975,1.8135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-21,2025-11-17,42.5,中性,0.0,0.0,,0.0,1.9759,1.8166,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-24,2025-11-24,25.0,看空,0.0,0.0,,0.0,1.9784,1.821,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-25,2025-11-24,25.0,看空,0.0,0.0,,0.0,1.9885,1.8301,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-26,2025-11-24,25.0,看空,0.0,0.0,,0.0,2.011,1.8462,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-27,2025-11-24,25.0,看空,0.0,0.0,,0.0,2.0256,1.8537,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-11-28,2025-11-24,25.0,看空,0.0,0.0,,0.0,2.0252,1.8412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-12-01,2025-12-01,67.5,中性,0.0,0.0,,0.0,2.0249,1.8366,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
2025-12-02,2025-12-01,67.5,中性,0.0,0.0,,0.0,2.0275,1.8442,-0.0,-0.0,0.0,-0.0,0.0,-0.0,0.0,0.0,-0.0,-0.0,0.0,67.65999999999806,29.760000000000105,37.899999999997945,0.015233011904761892,0.05858276387083202,0.013795361111111105,0.02587762395377154,1.0764708791046242,1.0403274832862108,1.0347423252765011
